item_id,Row,Model,Prompt_Variant,cell,raters
R8b81ddf0,7982,ChatGPT,v1_terse,V1,AB
R9829e3ce,7982,Mistral,v1_terse,V1,AB
R69139504,7982,ChatGPT,v2_empathetic,V2 / A00,AB
Rd6028c01,7982,Mistral,v2_empathetic,V2 / A00,AB
R4a68cbe9,7982,ChatGPT,v3_structured,V3,AB
Rd279540c,7982,Mistral,v3_structured,V3,AB
Reb19724c,7982,ChatGPT,f_000_base,000,AB
Rd7ba64d8,7982,Mistral,f_000_base,000,AB
R6d22881c,7982,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R5ddb10ec,7982,Mistral,f_A0C_empathetic_constraints,A0C,AB
R1d0a7bb5,7982,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R2d954f8a,7982,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rcddf7586,6203,ChatGPT,v1_terse,V1,A
R97cba7b3,6203,Mistral,v1_terse,V1,A
R26236569,6203,ChatGPT,v2_empathetic,V2 / A00,A
R6d1e8707,6203,Mistral,v2_empathetic,V2 / A00,A
R4330ee41,6203,ChatGPT,v3_structured,V3,A
R717c3883,6203,Mistral,v3_structured,V3,A
Rcdaac789,6203,ChatGPT,f_000_base,000,A
Rcd174883,6203,Mistral,f_000_base,000,A
R708602f4,6203,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R43be4f5e,6203,Mistral,f_A0C_empathetic_constraints,A0C,A
Rd2873c65,6203,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R6af10399,6203,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R48e2ca76,5470,ChatGPT,v1_terse,V1,B
R25cf5f3c,5470,Mistral,v1_terse,V1,B
R3cf9656a,5470,ChatGPT,v2_empathetic,V2 / A00,B
R0d352c2c,5470,Mistral,v2_empathetic,V2 / A00,B
Rbb1a9866,5470,ChatGPT,v3_structured,V3,B
R53ff2194,5470,Mistral,v3_structured,V3,B
R75c2092a,5470,ChatGPT,f_000_base,000,B
Rb5c9b8bb,5470,Mistral,f_000_base,000,B
R6ae20108,5470,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rb5ad597e,5470,Mistral,f_A0C_empathetic_constraints,A0C,B
R6f2395a7,5470,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Rc3ab5870,5470,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R5dfe4c8b,1515,ChatGPT,v1_terse,V1,A
R2b2e6eb2,1515,Mistral,v1_terse,V1,A
Rebcd14aa,1515,ChatGPT,v2_empathetic,V2 / A00,A
R61c847ee,1515,Mistral,v2_empathetic,V2 / A00,A
R253d7ce2,1515,ChatGPT,v3_structured,V3,A
Rae0ab1af,1515,Mistral,v3_structured,V3,A
Rbe5c40f8,1515,ChatGPT,f_000_base,000,A
R9953b6e8,1515,Mistral,f_000_base,000,A
R321f08e6,1515,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R181a128a,1515,Mistral,f_A0C_empathetic_constraints,A0C,A
R2753a072,1515,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rbed5bea6,1515,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Rb622473a,5674,ChatGPT,v1_terse,V1,B
R5f17641c,5674,Mistral,v1_terse,V1,B
Ra3ea9b01,5674,ChatGPT,v2_empathetic,V2 / A00,B
Rf6e589ad,5674,Mistral,v2_empathetic,V2 / A00,B
R785a2277,5674,ChatGPT,v3_structured,V3,B
Rcacb6f0b,5674,Mistral,v3_structured,V3,B
R8b0476fb,5674,ChatGPT,f_000_base,000,B
R4c4c6321,5674,Mistral,f_000_base,000,B
Ra74e8ac5,5674,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rbf770407,5674,Mistral,f_A0C_empathetic_constraints,A0C,B
Rf35532d4,5674,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R4d94f07b,5674,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R68746da0,6491,ChatGPT,v1_terse,V1,A
R0ada1f7d,6491,Mistral,v1_terse,V1,A
Rc7d7f074,6491,ChatGPT,v2_empathetic,V2 / A00,A
R3e2b2d8e,6491,Mistral,v2_empathetic,V2 / A00,A
Rf01ab778,6491,ChatGPT,v3_structured,V3,A
Rb8699c60,6491,Mistral,v3_structured,V3,A
Rf633bfef,6491,ChatGPT,f_000_base,000,A
Rbc5ee3c9,6491,Mistral,f_000_base,000,A
R323cf8b0,6491,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R172bb791,6491,Mistral,f_A0C_empathetic_constraints,A0C,A
R0446d043,6491,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rc04d1adf,6491,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Rfe7b4357,3511,ChatGPT,v1_terse,V1,B
R961e0c29,3511,Mistral,v1_terse,V1,B
R56cc1d85,3511,ChatGPT,v2_empathetic,V2 / A00,B
Re7031b2b,3511,Mistral,v2_empathetic,V2 / A00,B
R8beb71a4,3511,ChatGPT,v3_structured,V3,B
R7c2c596e,3511,Mistral,v3_structured,V3,B
Rabde480b,3511,ChatGPT,f_000_base,000,B
R8fc25fb9,3511,Mistral,f_000_base,000,B
Rb47317cb,3511,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R15c8bf2b,3511,Mistral,f_A0C_empathetic_constraints,A0C,B
Rdf392b12,3511,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R710afe91,3511,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R3030b6a4,177,ChatGPT,v1_terse,V1,A
R705f192d,177,Mistral,v1_terse,V1,A
R51d432ed,177,ChatGPT,v2_empathetic,V2 / A00,A
Rd4f939e7,177,Mistral,v2_empathetic,V2 / A00,A
R3bc186bb,177,ChatGPT,v3_structured,V3,A
R075ecafa,177,Mistral,v3_structured,V3,A
R91a99971,177,ChatGPT,f_000_base,000,A
Re8f5d35c,177,Mistral,f_000_base,000,A
Rd37b05ad,177,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Ra6db9541,177,Mistral,f_A0C_empathetic_constraints,A0C,A
R3d0ff4fd,177,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R8ebbe172,177,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R51cf73a7,1656,ChatGPT,v1_terse,V1,B
Rc43db317,1656,Mistral,v1_terse,V1,B
R1abc6b0d,1656,ChatGPT,v2_empathetic,V2 / A00,B
R0c386857,1656,Mistral,v2_empathetic,V2 / A00,B
Raf8995c3,1656,ChatGPT,v3_structured,V3,B
Rd768b6a3,1656,Mistral,v3_structured,V3,B
R260fb973,1656,ChatGPT,f_000_base,000,B
R828845b7,1656,Mistral,f_000_base,000,B
Rbfc0a17e,1656,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R39017092,1656,Mistral,f_A0C_empathetic_constraints,A0C,B
R5d3358d4,1656,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R7385c19a,1656,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R1be85025,4338,ChatGPT,v1_terse,V1,A
R1b6c42d9,4338,Mistral,v1_terse,V1,A
R70863e8f,4338,ChatGPT,v2_empathetic,V2 / A00,A
R00921c8d,4338,Mistral,v2_empathetic,V2 / A00,A
R1c2b093c,4338,ChatGPT,v3_structured,V3,A
R6454b333,4338,Mistral,v3_structured,V3,A
R2fc40f89,4338,ChatGPT,f_000_base,000,A
Re624fbb9,4338,Mistral,f_000_base,000,A
Rf6fb6f63,4338,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Rfbd9b8c3,4338,Mistral,f_A0C_empathetic_constraints,A0C,A
R4957949f,4338,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rfc09c5b1,4338,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R40a52d29,9595,ChatGPT,v1_terse,V1,B
R1166d051,9595,Mistral,v1_terse,V1,B
R840064d4,9595,ChatGPT,v2_empathetic,V2 / A00,B
R505b33f8,9595,Mistral,v2_empathetic,V2 / A00,B
R904cfb52,9595,ChatGPT,v3_structured,V3,B
R36b1238d,9595,Mistral,v3_structured,V3,B
Re9f18af0,9595,ChatGPT,f_000_base,000,B
R9e671018,9595,Mistral,f_000_base,000,B
Re08e02ba,9595,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R30f62fa9,9595,Mistral,f_A0C_empathetic_constraints,A0C,B
R8d60c249,9595,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Re975356e,9595,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R0d74e923,6214,ChatGPT,v1_terse,V1,A
R80a43c53,6214,Mistral,v1_terse,V1,A
Rb1880c25,6214,ChatGPT,v2_empathetic,V2 / A00,A
R398d49db,6214,Mistral,v2_empathetic,V2 / A00,A
R5052c393,6214,ChatGPT,v3_structured,V3,A
Re5af0fdd,6214,Mistral,v3_structured,V3,A
R47d86b20,6214,ChatGPT,f_000_base,000,A
Rcc95dd8c,6214,Mistral,f_000_base,000,A
R48806652,6214,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Rd913a1c9,6214,Mistral,f_A0C_empathetic_constraints,A0C,A
R4d0e5388,6214,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R1893bd2e,6214,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Re419ec1a,832,ChatGPT,v1_terse,V1,B
R3d3cfbca,832,Mistral,v1_terse,V1,B
R07bf2e5b,832,ChatGPT,v2_empathetic,V2 / A00,B
R37e25426,832,Mistral,v2_empathetic,V2 / A00,B
R7c38b537,832,ChatGPT,v3_structured,V3,B
R29cd3183,832,Mistral,v3_structured,V3,B
R2803e912,832,ChatGPT,f_000_base,000,B
R1583fe40,832,Mistral,f_000_base,000,B
R98802aae,832,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rf93257ed,832,Mistral,f_A0C_empathetic_constraints,A0C,B
R9e4f6287,832,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R8664138b,832,Mistral,f_ABC_empathetic_format_constraints,ABC,B
Rd773fe9f,5140,ChatGPT,v1_terse,V1,A
R287d0032,5140,Mistral,v1_terse,V1,A
Rd9fcbd65,5140,ChatGPT,v2_empathetic,V2 / A00,A
R27996bb1,5140,Mistral,v2_empathetic,V2 / A00,A
R27911fc6,5140,ChatGPT,v3_structured,V3,A
Re73a5f62,5140,Mistral,v3_structured,V3,A
Rc9344bfa,5140,ChatGPT,f_000_base,000,A
R97556cb7,5140,Mistral,f_000_base,000,A
Rc63f7f56,5140,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R685fb822,5140,Mistral,f_A0C_empathetic_constraints,A0C,A
Rf2ab8791,5140,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R5fe30e89,5140,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R6ccdb823,2564,ChatGPT,v1_terse,V1,B
R155f11f6,2564,Mistral,v1_terse,V1,B
R72fad61f,2564,ChatGPT,v2_empathetic,V2 / A00,B
Rf4e6d2de,2564,Mistral,v2_empathetic,V2 / A00,B
R4d8a2f18,2564,ChatGPT,v3_structured,V3,B
R9654db65,2564,Mistral,v3_structured,V3,B
R645fc325,2564,ChatGPT,f_000_base,000,B
R203498ad,2564,Mistral,f_000_base,000,B
R7faa7731,2564,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rac6c8ee9,2564,Mistral,f_A0C_empathetic_constraints,A0C,B
R5325a386,2564,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R02e9c7f7,2564,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R2d1d8828,9145,ChatGPT,v1_terse,V1,A
R3cd52d1e,9145,Mistral,v1_terse,V1,A
R364799e0,9145,ChatGPT,v2_empathetic,V2 / A00,A
Rc6ccda56,9145,Mistral,v2_empathetic,V2 / A00,A
Rc54766b5,9145,ChatGPT,v3_structured,V3,A
Ra85cb5d5,9145,Mistral,v3_structured,V3,A
Rf1279a6c,9145,ChatGPT,f_000_base,000,A
Rc2bb4e54,9145,Mistral,f_000_base,000,A
Re9ff6915,9145,ChatGPT,f_A0C_empathetic_constraints,A0C,A
R6eb401ae,9145,Mistral,f_A0C_empathetic_constraints,A0C,A
R4d4f36ad,9145,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
Rf2487512,9145,Mistral,f_ABC_empathetic_format_constraints,ABC,A
Rf5f570da,7967,ChatGPT,v1_terse,V1,B
R88f12b5d,7967,Mistral,v1_terse,V1,B
Re100964c,7967,ChatGPT,v2_empathetic,V2 / A00,B
R9d4148de,7967,Mistral,v2_empathetic,V2 / A00,B
R48d17925,7967,ChatGPT,v3_structured,V3,B
Re76b77da,7967,Mistral,v3_structured,V3,B
R01e0a9cf,7967,ChatGPT,f_000_base,000,B
R70e0bf66,7967,Mistral,f_000_base,000,B
R326779f4,7967,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R8de96cbc,7967,Mistral,f_A0C_empathetic_constraints,A0C,B
Reb056c7c,7967,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
R6d137687,7967,Mistral,f_ABC_empathetic_format_constraints,ABC,B
Rb3565079,5267,ChatGPT,v1_terse,V1,A
R956be17f,5267,Mistral,v1_terse,V1,A
R76cbf754,5267,ChatGPT,v2_empathetic,V2 / A00,A
Rd4f8359e,5267,Mistral,v2_empathetic,V2 / A00,A
R8615746e,5267,ChatGPT,v3_structured,V3,A
Rae5df4f0,5267,Mistral,v3_structured,V3,A
R7f68e73d,5267,ChatGPT,f_000_base,000,A
R929d7dab,5267,Mistral,f_000_base,000,A
R255acb12,5267,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Ra2def604,5267,Mistral,f_A0C_empathetic_constraints,A0C,A
Rfed285cc,5267,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R1267ef05,5267,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R9962bdcc,6557,ChatGPT,v1_terse,V1,B
Re5c1387d,6557,Mistral,v1_terse,V1,B
Rdda42c5d,6557,ChatGPT,v2_empathetic,V2 / A00,B
R43354a7a,6557,Mistral,v2_empathetic,V2 / A00,B
Rb1b6c9b8,6557,ChatGPT,v3_structured,V3,B
Re0629154,6557,Mistral,v3_structured,V3,B
R9cbb363e,6557,ChatGPT,f_000_base,000,B
Redd54ff4,6557,Mistral,f_000_base,000,B
R3b7437aa,6557,ChatGPT,f_A0C_empathetic_constraints,A0C,B
R988bb68b,6557,Mistral,f_A0C_empathetic_constraints,A0C,B
R6106a278,6557,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Ref75b75d,6557,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R41fea3cb,1466,ChatGPT,v1_terse,V1,A
R9304c1f6,1466,Mistral,v1_terse,V1,A
R4ccbd203,1466,ChatGPT,v2_empathetic,V2 / A00,A
Rba29e870,1466,Mistral,v2_empathetic,V2 / A00,A
R7ea78e0e,1466,ChatGPT,v3_structured,V3,A
R01d74482,1466,Mistral,v3_structured,V3,A
R916eee5f,1466,ChatGPT,f_000_base,000,A
R6a4b5a53,1466,Mistral,f_000_base,000,A
Ra2eecc01,1466,ChatGPT,f_A0C_empathetic_constraints,A0C,A
Rb461c1b4,1466,Mistral,f_A0C_empathetic_constraints,A0C,A
R85ca5700,1466,ChatGPT,f_ABC_empathetic_format_constraints,ABC,A
R1cd696d4,1466,Mistral,f_ABC_empathetic_format_constraints,ABC,A
R9c997595,3371,ChatGPT,v1_terse,V1,B
R8f989a95,3371,Mistral,v1_terse,V1,B
Rc83d3f01,3371,ChatGPT,v2_empathetic,V2 / A00,B
R482207c2,3371,Mistral,v2_empathetic,V2 / A00,B
Rcf20d4cb,3371,ChatGPT,v3_structured,V3,B
R4447f2d8,3371,Mistral,v3_structured,V3,B
Rd54edd5a,3371,ChatGPT,f_000_base,000,B
Rff0d0beb,3371,Mistral,f_000_base,000,B
Rf6801a57,3371,ChatGPT,f_A0C_empathetic_constraints,A0C,B
Rbf053e83,3371,Mistral,f_A0C_empathetic_constraints,A0C,B
R88301966,3371,ChatGPT,f_ABC_empathetic_format_constraints,ABC,B
Rde7395c9,3371,Mistral,f_ABC_empathetic_format_constraints,ABC,B
R39c3ad86,14,ChatGPT,v1_terse,V1,A
R8167510b,14,Mistral,v1_terse,V1,A
Rb0dd171d,14,ChatGPT,v2_empathetic,V2 / A00,A
Rc0547b33,14,Mistral,v2_empathetic,V2 / A00,A
R330bc794,14,ChatGPT,v3_structured,V3,A
R3c397753,14,Mistral,v3_structured,V3,A
R1fcf628a,14,ChatGPT,f_000_base,000,A
R10bc449e,14,Mistral,f_000_base,000,A
Rb53bca81,14,ChatGPT,f_A0C_empathetic_constraints,A0C,A
