Row,Prompt_Variant,Model,compound,narr_compound,p_negative,p_neutral,p_positive,roberta_score,roberta_label
47,v2_empathetic,ChatGPT,-0.5984,0.0,0.81199604,0.17631781,0.011686209,-0.80030984,negative
48,v1_terse,ChatGPT,0.296,-0.9385,0.3243384,0.62470335,0.050958242,-0.27338016,neutral
49,v2_empathetic,Mistral,0.9257,-0.9135,0.8510917,0.13634619,0.012562165,-0.8385295,negative
49,v3_structured,Mistral,-0.354,-0.9135,0.28957516,0.69277525,0.017649543,-0.27192563,neutral
49,v1_terse,ChatGPT,0.296,-0.9135,0.37062803,0.55065084,0.07872107,-0.29190695,neutral
48,v3_structured,ChatGPT,0.4404,-0.9385,0.35738918,0.6170956,0.025515238,-0.33187395,neutral
51,v1_terse,Mistral,0.0,0.5748,0.8414381,0.14727573,0.011286213,-0.8301519,negative
51,v3_structured,Mistral,-0.2023,0.5748,0.3372292,0.6443952,0.018375657,-0.31885353,neutral
49,v3_structured,ChatGPT,-0.5574,-0.9135,0.6702827,0.318955,0.010762272,-0.65952045,negative
51,v2_empathetic,Mistral,-0.5513,0.5748,0.87572616,0.115816765,0.008457117,-0.86726904,negative
51,v1_terse,ChatGPT,0.9246,0.5748,0.18815963,0.5411599,0.27068043,0.0825208,neutral
49,v2_empathetic,ChatGPT,0.8086,-0.9135,0.5548245,0.40341374,0.04176173,-0.5130627,negative
48,v2_empathetic,ChatGPT,0.9531,-0.9385,0.4957649,0.45175314,0.05248197,-0.44328293,negative
51,v3_structured,ChatGPT,-0.3182,0.5748,0.45693898,0.526313,0.01674806,-0.4401909,neutral
51,v2_empathetic,ChatGPT,0.9001,0.5748,0.46791384,0.47109205,0.060994137,-0.4069197,neutral
57,v1_terse,Mistral,-0.5267,-0.6522,0.734506,0.25091794,0.014576119,-0.7199299,negative
57,v3_structured,Mistral,-0.7003,-0.6522,0.27920067,0.70271456,0.01808468,-0.261116,neutral
57,v2_empathetic,Mistral,-0.0531,-0.6522,0.849061,0.14164776,0.009291227,-0.8397698,negative
57,v3_structured,ChatGPT,-0.8555,-0.6522,0.59048164,0.39522707,0.014291247,-0.5761904,negative
57,v2_empathetic,ChatGPT,0.2263,-0.6522,0.71962357,0.26027828,0.020098165,-0.6995254,negative
57,v1_terse,ChatGPT,0.3182,-0.6522,0.5814967,0.38946012,0.029043172,-0.5524535,negative
59,v1_terse,Mistral,0.5106,0.8012,0.08473409,0.70398396,0.21128197,0.12654787,neutral
59,v2_empathetic,Mistral,-0.5799,0.8012,0.86866856,0.1221619,0.009169501,-0.85949904,negative
60,v1_terse,Mistral,-0.0516,-0.8928,0.5761433,0.40273827,0.021118391,-0.5550249,negative
59,v3_structured,Mistral,-0.2985,0.8012,0.468283,0.5154876,0.016229391,-0.4520536,neutral
60,v2_empathetic,Mistral,0.5859,-0.8928,0.6209859,0.34560055,0.03341355,-0.5875724,negative
59,v1_terse,ChatGPT,0.872,0.8012,0.46117413,0.4798971,0.05892878,-0.40224534,neutral
60,v3_structured,Mistral,-0.2023,-0.8928,0.3294825,0.6532171,0.017300319,-0.3121822,neutral
60,v1_terse,ChatGPT,0.6124,-0.8928,0.3460504,0.6005898,0.053359773,-0.29269063,neutral
62,v1_terse,Mistral,0.5267,0.0701,0.50626767,0.46682605,0.026906205,-0.47936147,negative
59,v2_empathetic,ChatGPT,0.4017,0.8012,0.72561926,0.2535545,0.02082623,-0.70479304,negative
59,v3_structured,ChatGPT,-0.1935,0.8012,0.39219144,0.58541256,0.022395976,-0.36979547,neutral
62,v3_structured,Mistral,0.0,0.0701,0.4700564,0.5135651,0.016378425,-0.45367798,neutral
62,v2_empathetic,Mistral,0.5859,0.0701,0.7849041,0.20141028,0.013685616,-0.7712185,negative
60,v3_structured,ChatGPT,-0.5267,-0.8928,0.51240647,0.47458845,0.013005122,-0.49940136,negative
62,v1_terse,ChatGPT,0.2263,0.0701,0.6236203,0.36007926,0.016300544,-0.6073197,negative
62,v2_empathetic,ChatGPT,0.4404,0.0701,0.7523532,0.22680928,0.020837542,-0.73151565,negative
62,v3_structured,ChatGPT,-0.6369,0.0701,0.5695969,0.41589946,0.014503707,-0.55509317,negative
60,v2_empathetic,ChatGPT,0.9511,-0.8928,0.67832655,0.29740524,0.0242682,-0.65405834,negative
66,v1_terse,Mistral,0.4767,0.5267,0.63610625,0.34178644,0.022107275,-0.61399895,negative
66,v1_terse,ChatGPT,0.1935,0.5267,0.5800465,0.39609268,0.023860887,-0.5561856,negative
66,v2_empathetic,Mistral,-0.4215,0.5267,0.855324,0.13400672,0.010669288,-0.8446547,negative
66,v3_structured,Mistral,0.3869,0.5267,0.39040023,0.59223056,0.017369252,-0.373031,neutral
69,v1_terse,Mistral,0.5893,-0.6249,0.2664937,0.4855293,0.24797706,-0.018516645,neutral
66,v3_structured,ChatGPT,0.0516,0.5267,0.48775497,0.49673787,0.015507197,-0.47224778,neutral
66,v2_empathetic,ChatGPT,0.6258,0.5267,0.7906054,0.1956054,0.013789145,-0.7768163,negative
70,v1_terse,ChatGPT,0.7351,-0.5859,0.5626107,0.41176724,0.025622064,-0.5369886,negative
69,v3_structured,Mistral,0.0516,-0.6249,0.20668377,0.74791867,0.045397513,-0.16128626,neutral
70,v1_terse,Mistral,0.7269,-0.5859,0.60310215,0.37497577,0.021922046,-0.5811801,negative
69,v2_empathetic,Mistral,-0.4391,-0.6249,0.7965552,0.1854011,0.018043648,-0.7785116,negative
70,v3_structured,Mistral,0.0,-0.5859,0.21534917,0.7591836,0.025467265,-0.1898819,neutral
71,v1_terse,ChatGPT,0.4939,-0.2444,0.3447902,0.6082175,0.046992276,-0.29779792,neutral
70,v2_empathetic,Mistral,-0.3384,-0.5859,0.6457699,0.320904,0.03332612,-0.6124438,negative
69,v1_terse,ChatGPT,0.8622,-0.6249,0.36794323,0.5572296,0.074827135,-0.2931161,neutral
71,v1_terse,Mistral,0.837,-0.2444,0.19315726,0.7562479,0.050594904,-0.14256236,neutral
69,v3_structured,ChatGPT,-0.6124,-0.6249,0.55088186,0.43432966,0.014788465,-0.5360934,negative
71,v2_empathetic,Mistral,-0.5951,-0.2444,0.697249,0.26924208,0.03350894,-0.66374004,negative
71,v3_structured,Mistral,0.8467,-0.2444,0.32751635,0.653879,0.018604629,-0.3089117,neutral
69,v2_empathetic,ChatGPT,0.0772,-0.6249,0.8367594,0.15200698,0.011233732,-0.82552564,negative
70,v2_empathetic,ChatGPT,-0.1263,-0.5859,0.79395825,0.19169678,0.014345047,-0.7796132,negative
70,v3_structured,ChatGPT,0.0,-0.5859,0.4444065,0.54025686,0.01533661,-0.4290699,neutral
74,v1_terse,Mistral,0.6486,0.1969,0.6414277,0.33740497,0.021167371,-0.6202603,negative
74,v1_terse,ChatGPT,0.802,0.1969,0.56660247,0.4021456,0.031251915,-0.53535056,negative
74,v3_structured,Mistral,0.4588,0.1969,0.38780206,0.5950808,0.017117094,-0.37068498,neutral
74,v3_structured,ChatGPT,-0.3761,0.1969,0.6431871,0.34604883,0.01076403,-0.6324231,negative
74,v2_empathetic,Mistral,-0.2558,0.1969,0.87883955,0.11032201,0.010838396,-0.86800116,negative
71,v3_structured,ChatGPT,0.0,-0.2444,0.47047243,0.5148177,0.014709872,-0.45576257,neutral
71,v2_empathetic,ChatGPT,0.8194,-0.2444,0.40545842,0.49743938,0.09710214,-0.30835629,neutral
77,v1_terse,ChatGPT,-0.1531,-0.8176,0.16358887,0.6482268,0.18818429,0.024595425,neutral
77,v1_terse,Mistral,0.1531,-0.8176,0.17771082,0.76951265,0.05277663,-0.12493418,neutral
74,v2_empathetic,ChatGPT,0.9563,0.1969,0.63287324,0.32416952,0.042957284,-0.58991593,negative
77,v3_structured,Mistral,0.3182,-0.8176,0.41364977,0.5710482,0.015301991,-0.39834777,neutral
77,v2_empathetic,Mistral,-0.1531,-0.8176,0.739337,0.23578158,0.024881473,-0.71445554,negative
80,v1_terse,Mistral,0.4522,-0.9703,0.80976343,0.17852904,0.01170747,-0.79805595,negative
80,v1_terse,ChatGPT,-0.1531,-0.9703,0.58753836,0.39360493,0.018856723,-0.56868166,negative
80,v3_structured,Mistral,0.0,-0.9703,0.43547982,0.5497437,0.014776444,-0.42070338,neutral
81,v1_terse,Mistral,-0.296,-0.8195,0.33991778,0.62865293,0.031429272,-0.30848852,neutral
81,v1_terse,ChatGPT,0.7798,-0.8195,0.40678367,0.55215347,0.0410628,-0.36572087,neutral
80,v2_empathetic,Mistral,-0.7476,-0.9703,0.8703704,0.11984145,0.00978818,-0.86058223,negative
77,v2_empathetic,ChatGPT,0.8625,-0.8176,0.5414632,0.41262478,0.04591203,-0.49555117,negative
81,v3_structured,Mistral,0.5267,-0.8195,0.4252299,0.5567322,0.01803796,-0.40719193,neutral
82,v1_terse,Mistral,0.5994,-0.6577,0.72947973,0.25028673,0.02023355,-0.70924616,negative
81,v2_empathetic,Mistral,0.228,-0.8195,0.7333455,0.24840716,0.018247355,-0.71509814,negative
77,v3_structured,ChatGPT,-0.128,-0.8176,0.66629034,0.3230463,0.01066333,-0.655627,negative
80,v2_empathetic,ChatGPT,0.7925,-0.9703,0.687728,0.277541,0.034731,-0.652997,negative
82,v3_structured,Mistral,0.6249,-0.6577,0.39227763,0.5913716,0.016350735,-0.37592688,neutral
80,v3_structured,ChatGPT,0.0,-0.9703,0.46623096,0.5199674,0.013801603,-0.45242935,neutral
82,v2_empathetic,Mistral,-0.7783,-0.6577,0.8329027,0.15859915,0.008498127,-0.8244046,negative
82,v1_terse,ChatGPT,0.0516,-0.6577,0.54145914,0.43206462,0.026476176,-0.51498294,negative
81,v3_structured,ChatGPT,0.1027,-0.8195,0.46367154,0.5213198,0.015008669,-0.44866288,neutral
81,v2_empathetic,ChatGPT,0.9104,-0.8195,0.30354196,0.5755073,0.12095072,-0.18259123,neutral
82,v3_structured,ChatGPT,0.4767,-0.6577,0.5660371,0.42136297,0.0125999795,-0.5534371,negative
82,v2_empathetic,ChatGPT,0.9136,-0.6577,0.58249646,0.36812222,0.049381305,-0.53311515,negative
88,v1_terse,ChatGPT,0.7269,-0.9201,0.4786576,0.47887552,0.042466946,-0.43619066,neutral
88,v1_terse,Mistral,-0.634,-0.9201,0.75134814,0.23272079,0.015931066,-0.73541707,negative
88,v3_structured,Mistral,-0.7717,-0.9201,0.34275505,0.63944644,0.017798517,-0.32495654,neutral
88,v2_empathetic,Mistral,-0.8442,-0.9201,0.8528867,0.13644867,0.010664581,-0.8422221,negative
89,v2_empathetic,Mistral,-0.902,-0.9628,0.9064106,0.08569189,0.007897421,-0.89851314,negative
89,v3_structured,Mistral,-0.3182,-0.9628,0.20197876,0.7704548,0.027566364,-0.1744124,neutral
89,v1_terse,Mistral,0.4069,-0.9628,0.062121328,0.7508861,0.18699266,0.12487133,neutral
88,v2_empathetic,ChatGPT,0.7759,-0.9201,0.71144927,0.26043868,0.028111968,-0.6833373,negative
88,v3_structured,ChatGPT,-0.5423,-0.9201,0.4684865,0.5131473,0.018366199,-0.4501203,neutral
89,v2_empathetic,ChatGPT,0.0276,-0.9628,0.81462586,0.16777007,0.017604101,-0.79702175,negative
89,v1_terse,ChatGPT,0.2911,-0.9628,0.6760892,0.30343992,0.020470954,-0.65561825,negative
93,v1_terse,Mistral,-0.0772,-0.9568,0.8646689,0.12704724,0.008283811,-0.8563851,negative
93,v2_empathetic,Mistral,-0.659,-0.9568,0.8754873,0.11366627,0.010846391,-0.86464095,negative
93,v3_structured,Mistral,0.0516,-0.9568,0.24600567,0.7345938,0.01940055,-0.22660512,neutral
94,v1_terse,Mistral,0.2263,0.9006,0.6626488,0.3200198,0.017331427,-0.6453174,negative
89,v3_structured,ChatGPT,-0.7269,-0.9628,0.5717711,0.41526508,0.012963828,-0.55880725,negative
94,v3_structured,Mistral,0.2023,0.9006,0.17972806,0.79311347,0.02715849,-0.15256958,neutral
94,v2_empathetic,Mistral,-0.5859,0.9006,0.7684636,0.21646868,0.015067698,-0.7533959,negative
93,v1_terse,ChatGPT,-0.0516,-0.9568,0.72775656,0.25970557,0.012537923,-0.71521866,negative
94,v1_terse,ChatGPT,0.802,0.9006,0.7938215,0.19462726,0.011551235,-0.78227025,negative
96,v1_terse,Mistral,0.886,-0.2263,0.5133777,0.44552314,0.04109918,-0.47227854,negative
93,v2_empathetic,ChatGPT,0.642,-0.9568,0.7353474,0.23264013,0.032012507,-0.70333487,negative
93,v3_structured,ChatGPT,-0.5106,-0.9568,0.44858715,0.5353756,0.016037257,-0.4325499,neutral
96,v2_empathetic,Mistral,-0.4147,-0.2263,0.84896713,0.13913731,0.011895556,-0.8370716,negative
96,v3_structured,Mistral,0.4019,-0.2263,0.19591399,0.77820134,0.025884602,-0.17002939,neutral
97,v1_terse,Mistral,0.7027,-0.9803,0.6940787,0.28061116,0.02531014,-0.6687685,negative
94,v2_empathetic,ChatGPT,0.296,0.9006,0.7483515,0.23641211,0.015236323,-0.7331152,negative
94,v3_structured,ChatGPT,0.6124,0.9006,0.38768205,0.5935885,0.018729443,-0.3689526,neutral
97,v3_structured,Mistral,0.2263,-0.9803,0.3378197,0.6428597,0.01932057,-0.31849912,neutral
96,v1_terse,ChatGPT,0.8316,-0.2263,0.5748715,0.40138507,0.023743454,-0.55112803,negative
97,v2_empathetic,Mistral,-0.6808,-0.9803,0.79824436,0.18687686,0.01487875,-0.7833656,negative
97,v1_terse,ChatGPT,0.2789,-0.9803,0.6087537,0.37251753,0.01872883,-0.5900248,negative
96,v2_empathetic,ChatGPT,0.7102,-0.2263,0.68603957,0.2830203,0.030940136,-0.65509945,negative
96,v3_structured,ChatGPT,0.6124,-0.2263,0.33027786,0.647217,0.022505132,-0.30777273,neutral
100,v1_terse,Mistral,0.9217,-0.9586,0.48859712,0.43586862,0.07553426,-0.41306287,negative
97,v3_structured,ChatGPT,-0.1531,-0.9803,0.15129788,0.7885126,0.060189504,-0.09110838,neutral
100,v2_empathetic,Mistral,0.886,-0.9586,0.6948616,0.2697053,0.03543316,-0.6594284,negative
