Judge,pair_type,context,left,right,criterion,n,absolute_mean_diff,pairwise_left_share,same_direction,item_agreement
gpt-4.1,model,ABC,ChatGPT|ABC,Mistral|ABC,overall,84,0.08,0.47619047619047616,False,0.21428571428571427
gpt-4.1,model,ABC,ChatGPT|ABC,Mistral|ABC,concreteness,102,0.20666666666666667,0.5098039215686274,True,0.27450980392156865
gpt-4.1,model,ABC,ChatGPT|ABC,Mistral|ABC,tone,109,0.006666666666666667,0.5825688073394495,True,0.25688073394495414
gpt-4.1,model,V1,ChatGPT|V1,Mistral|V1,overall,122,-0.18,0.26229508196721313,True,0.48360655737704916
gpt-4.1,model,V1,ChatGPT|V1,Mistral|V1,concreteness,135,-0.52,0.22592592592592592,True,0.6444444444444445
gpt-4.1,model,V1,ChatGPT|V1,Mistral|V1,tone,139,0.16666666666666666,0.5755395683453237,True,0.5323741007194245
gpt-4.1,model,V3,ChatGPT|V3,Mistral|V3,overall,105,0.12,0.5619047619047619,True,0.2
gpt-4.1,model,V3,ChatGPT|V3,Mistral|V3,concreteness,118,0.14,0.4576271186440678,False,0.3050847457627119
gpt-4.1,model,V3,ChatGPT|V3,Mistral|V3,tone,118,0.0,0.6864406779661016,False,0.2542372881355932
gpt-4o-mini,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,overall,146,1.1,1.0,True,0.8904109589041096
gpt-4o-mini,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,concreteness,121,0.6533333333333333,0.9669421487603306,True,0.6942148760330579
gpt-4o-mini,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,tone,80,0.58,0.975,True,0.625
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,overall,100,0.52,0.92,True,0.62
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,concreteness,69,0.6666666666666666,0.7971014492753623,True,0.6956521739130435
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,tone,96,0.32666666666666666,0.6041666666666666,True,0.23958333333333334
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,overall,110,0.4066666666666667,0.7818181818181819,True,0.6090909090909091
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,concreteness,83,0.41333333333333333,0.8373493975903614,True,0.6867469879518072
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,tone,97,0.06666666666666667,0.4329896907216495,False,0.3402061855670103
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,overall,140,0.7666666666666667,0.9857142857142858,True,0.7
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,concreteness,102,0.8066666666666666,0.9313725490196079,True,0.8235294117647058
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,tone,85,0.5133333333333333,0.9647058823529412,True,0.5176470588235295
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,overall,55,0.06,0.8363636363636363,True,0.32727272727272727
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,concreteness,50,-0.04666666666666667,0.06,True,0.48
gpt-4o-mini,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,tone,148,0.21333333333333335,1.0,True,0.23648648648648649
gpt-4o-mini,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,overall,73,-0.5533333333333333,0.0136986301369863,True,0.684931506849315
gpt-4o-mini,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,concreteness,124,-0.8866666666666667,0.0,True,0.7983870967741935
gpt-4o-mini,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,tone,147,-0.08666666666666667,1.0,False,0.013605442176870748
gpt-4o-mini,cell,Mistral,Mistral|000,Mistral|00C,overall,137,1.12,0.9927007299270073,True,0.8613138686131386
gpt-4o-mini,cell,Mistral,Mistral|000,Mistral|00C,concreteness,134,1.0666666666666667,0.9701492537313433,True,0.8582089552238806
gpt-4o-mini,cell,Mistral,Mistral|000,Mistral|00C,tone,73,0.66,0.8013698630136986,True,0.6575342465753424
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|000,overall,136,0.56,0.8823529411764706,True,0.5
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|000,concreteness,103,0.9666666666666667,0.7961165048543689,True,0.7281553398058253
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|000,tone,74,0.14,0.6486486486486487,True,0.1891891891891892
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|A0C,overall,123,0.2866666666666667,0.8211382113821138,True,0.3902439024390244
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|A0C,concreteness,96,0.4533333333333333,0.8958333333333334,True,0.59375
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|A0C,tone,101,0.02666666666666667,0.32673267326732675,False,0.32673267326732675
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V1,overall,144,0.8666666666666667,0.9791666666666666,True,0.7152777777777778
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V1,concreteness,117,1.1866666666666668,0.9017094017094017,True,0.8034188034188035
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V1,tone,94,0.37333333333333335,0.9893617021276596,True,0.48936170212765956
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V3,overall,136,0.5333333333333333,0.9264705882352942,True,0.5073529411764706
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V3,concreteness,95,0.9333333333333333,0.7684210526315789,True,0.7894736842105263
gpt-4o-mini,cell,Mistral,Mistral|A00,Mistral|V3,tone,105,0.31333333333333335,0.9714285714285714,True,0.3142857142857143
gpt-4o-mini,cell,Mistral,Mistral|A0C,Mistral|ABC,overall,90,0.02,0.7777777777777778,True,0.1111111111111111
gpt-4o-mini,cell,Mistral,Mistral|A0C,Mistral|ABC,concreteness,68,0.04666666666666667,0.16911764705882354,False,0.39705882352941174
gpt-4o-mini,cell,Mistral,Mistral|A0C,Mistral|ABC,tone,138,0.03333333333333333,1.0,True,0.057971014492753624
gpt-4o-mini,model,000,ChatGPT|000,Mistral|000,overall,105,-0.4066666666666667,0.12380952380952381,True,0.5333333333333333
gpt-4o-mini,model,000,ChatGPT|000,Mistral|000,concreteness,103,-0.6466666666666666,0.06796116504854369,True,0.7572815533980582
gpt-4o-mini,model,000,ChatGPT|000,Mistral|000,tone,103,-0.21333333333333335,0.912621359223301,False,0.10679611650485436
gpt-4o-mini,model,A00,ChatGPT|A00,Mistral|A00,overall,131,-0.44666666666666666,0.06870229007633588,True,0.45038167938931295
gpt-4o-mini,model,A00,ChatGPT|A00,Mistral|A00,concreteness,119,-0.9466666666666667,0.03361344537815126,True,0.8823529411764706
gpt-4o-mini,model,A00,ChatGPT|A00,Mistral|A00,tone,105,-0.02666666666666667,0.9380952380952381,False,0.0380952380952381
gpt-4o-mini,model,A0C,ChatGPT|A0C,Mistral|A0C,overall,120,-0.5666666666666667,0.025,True,0.6416666666666667
gpt-4o-mini,model,A0C,ChatGPT|A0C,Mistral|A0C,concreteness,116,-0.9066666666666666,0.02586206896551724,True,0.8706896551724138
gpt-4o-mini,model,A0C,ChatGPT|A0C,Mistral|A0C,tone,78,-0.06666666666666667,0.8397435897435898,False,0.10256410256410256
gpt-4o-mini,model,ABC,ChatGPT|ABC,Mistral|ABC,overall,61,0.006666666666666667,0.38524590163934425,False,0.3114754098360656
gpt-4o-mini,model,ABC,ChatGPT|ABC,Mistral|ABC,concreteness,54,0.02666666666666667,0.3888888888888889,False,0.5555555555555556
gpt-4o-mini,model,ABC,ChatGPT|ABC,Mistral|ABC,tone,94,0.05333333333333334,0.6276595744680851,True,0.10638297872340426
gpt-4o-mini,model,V1,ChatGPT|V1,Mistral|V1,overall,94,-0.3466666666666667,0.10638297872340426,True,0.574468085106383
gpt-4o-mini,model,V1,ChatGPT|V1,Mistral|V1,concreteness,115,-0.5666666666666667,0.1608695652173913,True,0.6956521739130435
gpt-4o-mini,model,V1,ChatGPT|V1,Mistral|V1,tone,93,-0.16666666666666666,0.8118279569892473,False,0.27956989247311825
gpt-4o-mini,model,V3,ChatGPT|V3,Mistral|V3,overall,103,0.02666666666666667,0.3592233009708738,False,0.33980582524271846
gpt-4o-mini,model,V3,ChatGPT|V3,Mistral|V3,concreteness,97,0.03333333333333333,0.25257731958762886,False,0.38144329896907214
gpt-4o-mini,model,V3,ChatGPT|V3,Mistral|V3,tone,102,0.07333333333333333,0.8284313725490197,True,0.23529411764705882
mistral-small,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,overall,74,0.5266666666666666,0.9797297297297297,True,0.5405405405405406
mistral-small,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,concreteness,130,0.7466666666666667,0.9692307692307692,True,0.6846153846153846
mistral-small,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,tone,125,0.15333333333333332,0.616,True,0.72
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,overall,83,0.6,0.9156626506024096,True,0.5542168674698795
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,concreteness,84,0.6866666666666666,0.8630952380952381,True,0.6904761904761905
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,tone,146,0.37333333333333335,0.5445205479452054,True,0.5958904109589042
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,overall,95,0.15333333333333332,0.8421052631578947,True,0.3684210526315789
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,concreteness,97,0.37333333333333335,0.8402061855670103,True,0.5154639175257731
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,tone,149,0.07333333333333333,0.5033557046979866,True,0.6778523489932886
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,overall,80,0.6,0.925,True,0.7
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,concreteness,87,0.5266666666666666,0.867816091954023,True,0.6436781609195402
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,tone,148,0.26666666666666666,0.6182432432432432,True,0.5608108108108109
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,overall,69,-0.44,0.8840579710144928,False,0.21739130434782608
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,concreteness,80,-0.88,0.4,True,0.575
mistral-small,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,tone,146,-0.11333333333333333,0.684931506849315,False,0.4315068493150685
mistral-small,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,overall,55,-0.8066666666666666,0.23636363636363636,True,0.6727272727272727
mistral-small,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,concreteness,118,-1.6266666666666667,0.00847457627118644,True,0.9661016949152542
mistral-small,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,tone,150,-0.38,0.56,False,0.4666666666666667
mistral-small,cell,Mistral,Mistral|000,Mistral|00C,overall,116,0.86,0.978448275862069,True,0.75
mistral-small,cell,Mistral,Mistral|000,Mistral|00C,concreteness,129,1.2666666666666666,0.9728682170542635,True,0.8372093023255814
mistral-small,cell,Mistral,Mistral|000,Mistral|00C,tone,146,0.41333333333333333,0.5924657534246576,True,0.5821917808219178
mistral-small,cell,Mistral,Mistral|A00,Mistral|000,overall,129,0.7066666666666667,0.9689922480620154,True,0.6356589147286822
mistral-small,cell,Mistral,Mistral|A00,Mistral|000,concreteness,114,1.0933333333333333,0.9385964912280702,True,0.7807017543859649
mistral-small,cell,Mistral,Mistral|A00,Mistral|000,tone,144,0.31333333333333335,0.6388888888888888,True,0.5416666666666666
mistral-small,cell,Mistral,Mistral|A00,Mistral|A0C,overall,84,0.12666666666666668,0.8571428571428571,True,0.4642857142857143
mistral-small,cell,Mistral,Mistral|A00,Mistral|A0C,concreteness,117,0.34,0.8547008547008547,True,0.5042735042735043
mistral-small,cell,Mistral,Mistral|A00,Mistral|A0C,tone,149,-0.06,0.5067114093959731,False,0.8053691275167785
mistral-small,cell,Mistral,Mistral|A00,Mistral|V1,overall,139,0.9866666666666667,1.0,True,0.7266187050359713
mistral-small,cell,Mistral,Mistral|A00,Mistral|V1,concreteness,114,1.32,0.9736842105263158,True,0.8596491228070176
mistral-small,cell,Mistral,Mistral|A00,Mistral|V1,tone,146,0.41333333333333333,0.8047945205479452,True,0.5068493150684932
mistral-small,cell,Mistral,Mistral|A00,Mistral|V3,overall,144,0.6333333333333333,0.9791666666666666,True,0.6388888888888888
mistral-small,cell,Mistral,Mistral|A00,Mistral|V3,concreteness,135,0.82,0.9259259259259259,True,0.7407407407407407
mistral-small,cell,Mistral,Mistral|A00,Mistral|V3,tone,148,0.4266666666666667,0.9391891891891891,True,0.527027027027027
mistral-small,cell,Mistral,Mistral|A0C,Mistral|ABC,overall,121,0.15333333333333332,0.9338842975206612,True,0.3140495867768595
mistral-small,cell,Mistral,Mistral|A0C,Mistral|ABC,concreteness,101,0.06666666666666667,0.5792079207920792,True,0.38613861386138615
mistral-small,cell,Mistral,Mistral|A0C,Mistral|ABC,tone,147,0.19333333333333333,0.8877551020408163,True,0.35374149659863946
mistral-small,model,000,ChatGPT|000,Mistral|000,overall,102,-0.86,0.029411764705882353,True,0.7549019607843137
mistral-small,model,000,ChatGPT|000,Mistral|000,concreteness,114,-1.16,0.021929824561403508,True,0.8157894736842105
mistral-small,model,000,ChatGPT|000,Mistral|000,tone,146,-0.4866666666666667,0.4931506849315068,True,0.4589041095890411
mistral-small,model,A00,ChatGPT|A00,Mistral|A00,overall,139,-0.9666666666666667,0.02158273381294964,True,0.7769784172661871
mistral-small,model,A00,ChatGPT|A00,Mistral|A00,concreteness,143,-1.5666666666666667,0.013986013986013986,True,0.9090909090909091
mistral-small,model,A00,ChatGPT|A00,Mistral|A00,tone,150,-0.4266666666666667,0.48,True,0.4666666666666667
mistral-small,model,A0C,ChatGPT|A0C,Mistral|A0C,overall,139,-0.9933333333333333,0.007194244604316547,True,0.7553956834532374
mistral-small,model,A0C,ChatGPT|A0C,Mistral|A0C,concreteness,137,-1.6,0.0,True,0.9197080291970803
mistral-small,model,A0C,ChatGPT|A0C,Mistral|A0C,tone,150,-0.56,0.5,True,0.41333333333333333
mistral-small,model,ABC,ChatGPT|ABC,Mistral|ABC,overall,98,-0.03333333333333333,0.23469387755102042,True,0.336734693877551
mistral-small,model,ABC,ChatGPT|ABC,Mistral|ABC,concreteness,108,0.09333333333333334,0.25925925925925924,False,0.3888888888888889
mistral-small,model,ABC,ChatGPT|ABC,Mistral|ABC,tone,141,0.013333333333333334,0.48936170212765956,False,0.7163120567375887
mistral-small,model,V1,ChatGPT|V1,Mistral|V1,overall,58,-0.58,0.1206896551724138,True,0.6896551724137931
mistral-small,model,V1,ChatGPT|V1,Mistral|V1,concreteness,90,-0.7733333333333333,0.08888888888888889,True,0.7111111111111111
mistral-small,model,V1,ChatGPT|V1,Mistral|V1,tone,143,-0.28,0.5,True,0.6433566433566433
mistral-small,model,V3,ChatGPT|V3,Mistral|V3,overall,107,0.10666666666666667,0.514018691588785,True,0.40186915887850466
mistral-small,model,V3,ChatGPT|V3,Mistral|V3,concreteness,122,0.13333333333333333,0.3975409836065574,False,0.4344262295081967
mistral-small,model,V3,ChatGPT|V3,Mistral|V3,tone,141,0.11333333333333333,0.5851063829787234,True,0.524822695035461
