Judge,Model,comparison,criterion,diff,ci95,paired_d,wilcoxon_p
mistral-small,ChatGPT,V2 empathetic - V1,concreteness,0.5117056856187291,0.10602063037943554,0.5470793692739236,4.326121732375672e-16
mistral-small,ChatGPT,V2 empathetic - V1,tone,0.2608695652173913,0.06749188594827774,0.43811924199849955,3.693678135434239e-12
mistral-small,ChatGPT,V2 empathetic - V1,grounding,-0.6254180602006689,0.16323866494882994,-0.43427803209222504,2.1732294469389227e-11
mistral-small,ChatGPT,V2 empathetic - V1,overall,0.5551839464882943,0.09823826293796951,0.640584907564913,3.778071194842827e-20
mistral-small,ChatGPT,V3 structured - V1,acknowledgement,1.120401337792642,0.11290487881483546,1.1248157451424354,9.690800395936099e-37
mistral-small,ChatGPT,V3 structured - V1,concreteness,1.414715719063545,0.10184455591171343,1.5745332544243589,4.6266110890280134e-45
mistral-small,ChatGPT,V3 structured - V1,tone,0.3779264214046823,0.061699083714728896,0.6943029618383264,5.458788572894801e-23
mistral-small,ChatGPT,V3 structured - V1,grounding,0.3879598662207358,0.1006568153724623,0.43688194018991106,1.2186700347916329e-11
mistral-small,ChatGPT,V3 structured - V1,overall,1.0434782608695652,0.08965526849407982,1.3192529300009261,1.2645175191098078e-40
mistral-small,Mistral,V2 empathetic - V1,acknowledgement,0.842809364548495,0.15505237270587396,0.616128663079646,1.4373529212799227e-19
mistral-small,Mistral,V2 empathetic - V1,concreteness,1.2441471571906355,0.12057061666201116,1.169636053155437,2.758572585110428e-38
mistral-small,Mistral,V2 empathetic - V1,tone,0.4414715719063545,0.0730369110175937,0.6851423658110088,1.398588636168445e-22
mistral-small,Mistral,V2 empathetic - V1,grounding,-0.32441471571906355,0.12099085772800071,-0.3039264291823733,3.0757808726774043e-06
mistral-small,Mistral,V2 empathetic - V1,overall,0.8963210702341137,0.10377586240021414,0.9790113612705643,1.0509170871126605e-32
mistral-small,Mistral,V3 structured - V1,acknowledgement,0.44816053511705684,0.15370267260079598,0.3305009164653077,2.8464540246288714e-07
mistral-small,Mistral,V3 structured - V1,concreteness,0.43812709030100333,0.12277257957112593,0.4045006311979285,1.7708147616906028e-10
mistral-small,Mistral,V3 structured - V1,tone,0.0033444816053511705,0.07572385323510551,0.005006296689986824,0.9275657010881386
mistral-small,Mistral,V3 structured - V1,grounding,0.30434782608695654,0.08889937920481605,0.3880538110247139,5.157920512248147e-09
mistral-small,Mistral,V3 structured - V1,overall,0.2809364548494983,0.10636417296518724,0.29938718536320363,9.64833908463487e-07
gpt-4.1,ChatGPT,V2 empathetic - V1,acknowledgement,0.5484949832775919,0.08149645499186908,0.7628768200782697,1.9509695770224728e-25
gpt-4.1,ChatGPT,V2 empathetic - V1,concreteness,0.8361204013377926,0.07796066598836995,1.2156645630134488,6.158746487028854e-40
gpt-4.1,ChatGPT,V2 empathetic - V1,tone,0.08695652173913043,0.03458268958930653,0.2850124755464552,2.065285796126203e-06
gpt-4.1,ChatGPT,V2 empathetic - V1,grounding,-0.13712374581939799,0.05923326265669386,-0.26240221137313535,1.619003626120185e-05
gpt-4.1,ChatGPT,V2 empathetic - V1,overall,0.7290969899665551,0.07283921438219844,1.1345941224959193,3.9131886010190886e-38
gpt-4.1,ChatGPT,V3 structured - V1,acknowledgement,0.6989966555183946,0.08683989533815889,0.9123811070303249,1.6171883979821828e-30
gpt-4.1,ChatGPT,V3 structured - V1,concreteness,1.842809364548495,0.06553423929287423,3.1873710601031218,1.5785711854691304e-54
gpt-4.1,ChatGPT,V3 structured - V1,tone,0.10033444816053512,0.034112497618221486,0.3333934208336531,4.320463057827488e-08
gpt-4.1,ChatGPT,V3 structured - V1,grounding,0.07692307692307693,0.036694729094643184,0.2376147735278925,7.6000119051734e-05
gpt-4.1,ChatGPT,V3 structured - V1,overall,1.0836120401337792,0.07099661067676447,1.7300421441199934,3.829203383412686e-48
gpt-4.1,Mistral,V2 empathetic - V1,acknowledgement,0.6020066889632107,0.08191647891529956,0.8330105803896747,1.635805983018635e-28
gpt-4.1,Mistral,V2 empathetic - V1,concreteness,1.0367892976588629,0.10880751929966725,1.0800704239526395,1.0547782268608565e-35
gpt-4.1,Mistral,V2 empathetic - V1,tone,0.05351170568561873,0.07519452979874382,0.0806646072406804,0.15884465136896742
gpt-4.1,Mistral,V2 empathetic - V1,grounding,-0.6421404682274248,0.1372171615201693,-0.5304471084228117,6.718713669964364e-16
gpt-4.1,Mistral,V2 empathetic - V1,overall,0.39464882943143814,0.102447337860658,0.4366471387056459,3.813113536028374e-12
gpt-4.1,Mistral,V3 structured - V1,acknowledgement,0.35451505016722407,0.09614936348760197,0.41793499798260225,1.7156103247985253e-11
gpt-4.1,Mistral,V3 structured - V1,concreteness,1.173913043478261,0.09582036427125228,1.3886685113251016,4.2271313843727954e-42
gpt-4.1,Mistral,V3 structured - V1,tone,0.2408026755852843,0.06112617472447945,0.4465340352298208,1.5295029541072726e-12
gpt-4.1,Mistral,V3 structured - V1,grounding,0.5785953177257525,0.1064658006354637,0.6160064614424048,5.378923307411561e-19
gpt-4.1,Mistral,V3 structured - V1,overall,0.782608695652174,0.08431067988404582,1.0521618596852553,3.753451091422433e-35
