Model,Variant,Reference,Feature,Variant mean,Reference mean,Diff,Paired d,p,n
ChatGPT,p_A00_para2,v2_empathetic,Apology,0.9093031010336778,0.9646548849616539,-0.05535178392797599,,4.698503693785178e-21,2999
ChatGPT,p_A00_para2,v2_empathetic,Ownership,0.9766588862954318,0.9806602200733577,-0.0040013337779259755,,0.3193082974752446,2999
ChatGPT,p_A00_para2,v2_empathetic,Time-bound commitment,0.0213404468156052,0.06135378459486496,-0.04001333777925975,,5.235505707529688e-18,2999
ChatGPT,p_A00_para2,v2_empathetic,Escalation,0.4628209403134378,0.5088362787595865,-0.04601533844614872,,3.201729256060673e-05,2999
ChatGPT,p_A00_para2,v2_empathetic,Asks for information,0.004668222740913638,0.0053351117039013,-0.0006668889629876625,,0.8450189828872681,2999
ChatGPT,p_A00_para2,v2_empathetic,Thanks the customer,0.7895965321773925,0.7762587529176392,0.013337779259753251,,0.167898587128766,2999
ChatGPT,p_A00_para2,v2_empathetic,Leaves a [placeholder],0.8092697565855285,0.4021340446815605,0.40713571190396797,,3.5833786837483206e-274,2999
ChatGPT,p_A00_para2,v2_empathetic,Markdown,0.0,0.0,0.0,,1.0,2999
ChatGPT,p_A00_para2,v2_empathetic,Hedging,0.03334444814938313,0.020673557852617538,0.012670890296765588,,0.0015398549685237176,2999
ChatGPT,p_A00_para2,v2_empathetic,Promises an outcome,0.0010003334444814939,0.0010003334444814939,0.0,,1.0,2999
ChatGPT,p_A00_para2,v2_empathetic,All three labels present,0.0,0.0,0.0,,1.0,2999
ChatGPT,p_A00_para2,p_A00_para1,Length (chars),562.02900966989,541.02900966989,21.0,0.275661718646305,2.434922887174444e-46,2999
ChatGPT,p_A00_para2,p_A00_para1,Sentences,4.669223074358119,5.135711903967989,-0.46648882960987,-0.5457542412100189,1.2574043872744106e-147,2999
ChatGPT,p_A00_para2,p_A00_para1,VADER compound,0.7764880960320105,0.7811144048016005,-0.004626308769589862,-0.013012039534020983,0.020178600162851303,2999
ChatGPT,p_A00_para2,p_A00_para1,FK grade,10.729109703234412,9.477392464154716,1.2517172390796931,0.8144217066960215,5.143177132523473e-277,2999
ChatGPT,p_A00_para2,p_A00_para1,Apology,0.9093031010336778,0.9973324441480493,-0.08802934311437145,,5.9675457959888676e-74,2999
ChatGPT,p_A00_para2,p_A00_para1,Ownership,0.9766588862954318,0.9639879959986662,0.012670890296765588,,0.00464181232910736,2999
ChatGPT,p_A00_para2,p_A00_para1,Time-bound commitment,0.0213404468156052,0.022340780260086696,-0.0010003334444814939,,0.8408215252256424,2999
ChatGPT,p_A00_para2,p_A00_para1,Escalation,0.4628209403134378,0.2960986995665222,0.16672224074691563,,5.322064946874462e-53,2999
ChatGPT,p_A00_para2,p_A00_para1,Asks for information,0.004668222740913638,0.004334778259419807,0.00033344448149383126,,1.0,2999
ChatGPT,p_A00_para2,p_A00_para1,Thanks the customer,0.7895965321773925,0.9293097699233077,-0.1397132377459153,,1.3453573627541088e-67,2999
ChatGPT,p_A00_para2,p_A00_para1,Leaves a [placeholder],0.8092697565855285,0.9479826608869624,-0.13871290430143382,,3.1294614228424173e-71,2999
ChatGPT,p_A00_para2,p_A00_para1,Markdown,0.0,0.0,0.0,,1.0,2999
ChatGPT,p_A00_para2,p_A00_para1,Hedging,0.03334444814938313,0.022674224741580526,0.0106702234078026,,0.01058264340285334,2999
ChatGPT,p_A00_para2,p_A00_para1,Promises an outcome,0.0010003334444814939,0.0006668889629876625,0.00033344448149383126,,1.0,2999
ChatGPT,p_A00_para2,p_A00_para1,All three labels present,0.0,0.0,0.0,,1.0,2999
Mistral,p_A00_para1,v2_empathetic,Length (chars),398.6038679559853,435.27442480826943,-36.67055685228409,-0.44634720952813206,1.5433883062836896e-120,2999
Mistral,p_A00_para1,v2_empathetic,Sentences,3.3921307102367457,3.496165388462821,-0.10403467822607536,-0.15023938434301484,1.0682578639112386e-14,2999
Mistral,p_A00_para1,v2_empathetic,VADER compound,-0.3487110703567856,-0.06309233077692565,-0.28561873957985995,-0.45656373545531403,1.9122186028894654e-114,2999
Mistral,p_A00_para1,v2_empathetic,FK grade,10.271823941313771,10.890163387795932,-0.6183394464821608,-0.27373611008956084,4.849862463483167e-46,2999
Mistral,p_A00_para1,v2_empathetic,Apology,0.9993331110370124,0.9983327775925308,0.0010003334444814939,,0.453125,2999
Mistral,p_A00_para1,v2_empathetic,Ownership,0.9989996665555185,0.9893297765921975,0.009669889963321108,,4.176981747150421e-07,2999
Mistral,p_A00_para1,v2_empathetic,Time-bound commitment,0.3591197065688563,0.6835611870623541,-0.32444148049349786,,9.577496820262784e-152,2999
Mistral,p_A00_para1,v2_empathetic,Escalation,0.4444814938312771,0.6938979659886629,-0.2494164721573858,,1.5219133645190382e-117,2999
Mistral,p_A00_para1,v2_empathetic,Asks for information,0.006335445148382794,0.006335445148382794,0.0,,1.0,2999
Mistral,p_A00_para1,v2_empathetic,Thanks the customer,0.058686228742914306,0.07269089696565521,-0.014004668222740914,,0.019334086874174063,2999
Mistral,p_A00_para1,v2_empathetic,Leaves a [placeholder],0.16872290763587863,0.15305101700566856,0.01567189063021007,,0.08749279796266606,2999
Mistral,p_A00_para1,v2_empathetic,Markdown,0.00033344448149383126,0.0,0.00033344448149383126,,1.0,2999
Mistral,p_A00_para1,v2_empathetic,Hedging,0.012670890296765588,0.016672224074691565,-0.0040013337779259755,,0.22424452830608183,2999
Mistral,p_A00_para1,v2_empathetic,Promises an outcome,0.0040013337779259755,0.004668222740913638,-0.0006668889629876625,,0.8238029479980469,2999
Mistral,p_A00_para1,v2_empathetic,All three labels present,0.0,0.0,0.0,,1.0,2999
Mistral,p_A00_para2,v2_empathetic,Length (chars),503.9529843281094,435.27442480826943,68.67855951983995,0.7504217305647382,1.281285810041974e-258,2999
Mistral,p_A00_para2,v2_empathetic,Sentences,3.859619873291097,3.496165388462821,0.3634544848282761,0.5219252939421807,1.5331757909190521e-131,2999
Mistral,p_A00_para2,v2_empathetic,VADER compound,-0.11501173724574859,-0.06309233077692564,-0.05191940646882294,-0.07718934859260229,3.8828842141085214e-05,2999
Mistral,p_A00_para2,v2_empathetic,FK grade,11.03997999333111,10.890163387795932,0.14981660553517842,0.06917637809648651,0.00016060898013581733,2999
Mistral,p_A00_para2,v2_empathetic,Apology,0.9986662220740247,0.9983327775925308,0.00033344448149383126,,1.0,2999
Mistral,p_A00_para2,v2_empathetic,Ownership,0.991997332444148,0.9893297765921975,0.00266755585195065,,0.34968195298368476,2999
Mistral,p_A00_para2,v2_empathetic,Time-bound commitment,0.5608536178726242,0.6835611870623541,-0.12270756918972991,,5.171358151996902e-25,2999
Mistral,p_A00_para2,v2_empathetic,Escalation,0.5858619539846616,0.6938979659886629,-0.10803601200400133,,3.123941822529956e-26,2999
Mistral,p_A00_para2,v2_empathetic,Asks for information,0.006335445148382794,0.006335445148382794,0.0,,1.0,2999
Mistral,p_A00_para2,v2_empathetic,Thanks the customer,0.08836278759586529,0.07269089696565521,0.01567189063021007,,0.018323761653627122,2999
Mistral,p_A00_para2,v2_empathetic,Leaves a [placeholder],0.14671557185728576,0.15305101700566856,-0.006335445148382794,,0.4996697209964283,2999
Mistral,p_A00_para2,v2_empathetic,Markdown,0.008002667555851951,0.0,0.008002667555851951,,1.1920928955078125e-07,2999
Mistral,p_A00_para2,v2_empathetic,Hedging,0.016672224074691565,0.016672224074691565,0.0,,1.0,2999
Mistral,p_A00_para2,v2_empathetic,Promises an outcome,0.006335445148382794,0.004668222740913638,0.0016672224074691564,,0.42435622215270996,2999
Mistral,p_A00_para2,v2_empathetic,All three labels present,0.0,0.0,0.0,,1.0,2999
Mistral,p_A00_para2,p_A00_para1,Length (chars),503.9529843281094,398.6038679559853,105.34911637212404,1.1488092975404611,0.0,2999
Mistral,p_A00_para2,p_A00_para1,Sentences,3.859619873291097,3.3921307102367457,0.46748916305435145,0.6924203149037172,1.2745611966395013e-206,2999
Mistral,p_A00_para2,p_A00_para1,VADER compound,-0.11501173724574859,-0.3487110703567856,0.233699333111037,0.3657832962708124,1.0337349637160908e-75,2999
Mistral,p_A00_para2,p_A00_para1,FK grade,11.03997999333111,10.27182394131377,0.768156052017339,0.34693336162621524,2.484747635215781e-70,2999
Mistral,p_A00_para2,p_A00_para1,Apology,0.9986662220740247,0.9993331110370124,-0.0006668889629876625,,0.6875,2999
Mistral,p_A00_para2,p_A00_para1,Ownership,0.991997332444148,0.9989996665555185,-0.007002334111370457,,4.9233436584472656e-05,2999
Mistral,p_A00_para2,p_A00_para1,Time-bound commitment,0.5608536178726242,0.3591197065688563,0.20173391130376792,,1.487721706903751e-65,2999
Mistral,p_A00_para2,p_A00_para1,Escalation,0.5858619539846616,0.4444814938312771,0.14138046015338446,,6.920869724050326e-42,2999
Mistral,p_A00_para2,p_A00_para1,Asks for information,0.006335445148382794,0.006335445148382794,0.0,,1.0,2999
Mistral,p_A00_para2,p_A00_para1,Thanks the customer,0.08836278759586529,0.058686228742914306,0.029676558852950983,,2.680475924461372e-06,2999
Mistral,p_A00_para2,p_A00_para1,Leaves a [placeholder],0.14671557185728576,0.16872290763587863,-0.022007335778592863,,0.013553736562933965,2999
Mistral,p_A00_para2,p_A00_para1,Markdown,0.008002667555851951,0.00033344448149383126,0.00766922307435812,,2.384185791015625e-07,2999
Mistral,p_A00_para2,p_A00_para1,Hedging,0.016672224074691565,0.012670890296765588,0.0040013337779259755,,0.2298644069691203,2999
Mistral,p_A00_para2,p_A00_para1,Promises an outcome,0.006335445148382794,0.0040013337779259755,0.002334111370456819,,0.2295229434967041,2999
Mistral,p_A00_para2,p_A00_para1,All three labels present,0.0,0.0,0.0,,1.0,2999
