Model,feature,factor,n,estimate,ci_lo,ci_hi,excludes_zero
ChatGPT,Promises an outcome,A,2999,0.00016672224074691563,-0.00033344448149383126,0.0007502500833611204,False
ChatGPT,Promises an outcome,B,2999,-0.00033344448149383126,-0.0007502500833611204,0.0,False
ChatGPT,Promises an outcome,C,2999,-0.0006668889629876625,-0.0012504168056018672,-0.00025008336112037347,True
ChatGPT,All three labels present,A,2999,-0.000916972324108036,-0.002086112037345782,0.00033344448149383126,False
ChatGPT,All three labels present,B,2999,0.9954151383794598,0.9941647215738579,0.9965821940646882,True
ChatGPT,All three labels present,C,2999,8.336112037345781e-05,-0.0011670556852284096,0.0012504168056018672,False
Mistral,Length (chars),A,2999,-6.8252750916972325,-8.364711153717906,-5.149860370123375,True
Mistral,Length (chars),B,2999,-16.169556518839613,-17.857677559186396,-14.378003084361454,True
Mistral,Length (chars),C,2999,-68.91313771257086,-70.58509919973325,-67.41463612870957,True
Mistral,Sentences,A,2999,-0.4649049683227743,-0.4744123041013671,-0.4562354118039346,True
Mistral,Sentences,B,2999,-0.827192397465822,-0.8377792597532511,-0.8165200900300099,True
Mistral,Sentences,C,2999,-0.16097032344114706,-0.1691397132377459,-0.15155051683894633,True
Mistral,VADER compound,A,2999,-0.5503681227075692,-0.564336507585862,-0.5389993627042348,True
Mistral,VADER compound,B,2999,-0.33967177392464154,-0.3530903532427476,-0.32609924370623544,True
Mistral,VADER compound,C,2999,0.022957452484161388,0.013588165221740582,0.03279193356118706,True
Mistral,FK grade,A,2999,0.06294598199399798,0.02264838279426475,0.10155280926975653,True
Mistral,FK grade,B,2999,0.6828859619873291,0.6372259503167722,0.7253094781593864,True
Mistral,FK grade,C,2999,-1.0429559853284427,-1.0820794431477156,-1.0072634628209403,True
Mistral,Apology,A,2999,0.34244748249416473,0.3356931477159053,0.3486162054018006,True
Mistral,Apology,B,2999,-0.6540513504501501,-0.6603055185061688,-0.6477971823941313,True
Mistral,Apology,C,2999,-0.1845615205068356,-0.19056352117372458,-0.17880960320106704,True
Mistral,Ownership,A,2999,0.25641880626875624,0.24908302767589197,0.2634211403801267,True
Mistral,Ownership,B,2999,0.25291763921307103,0.2458319439813271,0.25975325108369457,True
Mistral,Ownership,C,2999,-0.012170723574524842,-0.018422807602534178,-0.005418472824274758,True
Mistral,Time-bound commitment,A,2999,0.07335778592864288,0.06293764588196066,0.08302767589196398,True
Mistral,Time-bound commitment,B,2999,0.45881960653551185,0.4484807435811937,0.4692418306102034,True
Mistral,Time-bound commitment,C,2999,-0.1675558519506502,-0.17647757585861953,-0.15821523841280427,True
Mistral,Escalation,A,2999,0.3541180393464488,0.3434457319106369,0.3651300433477826,True
Mistral,Escalation,B,2999,-0.046182060686895635,-0.05885503501167056,-0.03384461487162387,True
Mistral,Escalation,C,2999,-0.05901967322440813,-0.06852492497499166,-0.049433144381460487,True
Mistral,Asks for information,A,2999,-0.3119373124374792,-0.32227409136378793,-0.3016005335111704,True
Mistral,Asks for information,B,2999,0.019006335445148383,0.011416305435145048,0.027259086362120707,True
Mistral,Asks for information,C,2999,-0.10736912304101368,-0.11362329109703234,-0.09952900966988996,True
Mistral,Thanks the customer,A,2999,-0.38512837612537515,-0.3907969323107703,-0.3797932644214738,True
Mistral,Thanks the customer,B,2999,-0.46648882960987,-0.4720740246748916,-0.46032010670223406,True
Mistral,Thanks the customer,C,2999,0.06985661887295765,0.06485495165055018,0.07494164721573858,True
Mistral,Leaves a [placeholder],A,2999,-0.06177059019673224,-0.06968989663221074,-0.0539283927975992,True
Mistral,Leaves a [placeholder],B,2999,-0.004084694898299433,-0.011920640213404467,0.00400341780593531,False
Mistral,Leaves a [placeholder],C,2999,-0.08277759253084362,-0.09036345448482827,-0.07519173057685895,True
Mistral,Markdown,A,2999,-0.1444648216072024,-0.1523049349783261,-0.13687895965321775,True
Mistral,Markdown,B,2999,0.47690896965655216,0.4685728576192064,0.48533052684228073,True
Mistral,Markdown,C,2999,-0.22065688562854285,-0.2279968322774258,-0.21256877292430812,True
Mistral,Hedging,A,2999,-0.08494498166055352,-0.09103242747582527,-0.07902634211403801,True
Mistral,Hedging,B,2999,-0.022590863621207068,-0.029259753251083695,-0.015838612870956986,True
Mistral,Hedging,C,2999,-0.01725575191730577,-0.023091030343447817,-0.011753917972657553,True
Mistral,Promises an outcome,A,2999,0.0012504168056018672,8.336112037345781e-05,0.002584194731577192,True
Mistral,Promises an outcome,B,2999,0.00025008336112037347,-0.0009190563521173724,0.0015838612870956986,False
Mistral,Promises an outcome,C,2999,-0.005418472824274758,-0.007085695231743914,-0.003917972657552517,True
Mistral,All three labels present,A,2999,0.0,0.0,0.0,False
Mistral,All three labels present,B,2999,1.0,1.0,1.0,True
Mistral,All three labels present,C,2999,0.0,0.0,0.0,False
