Judge,Model,Criterion,Term,Estimate,SE,p
gpt-4.1,Mistral,overall,A:B,-0.07357859531772601,0.05657745810394955,0.19343201092364515
gpt-4.1,Mistral,overall,A:C,0.6789297658862871,0.05937287028205663,2.7948278796629794e-30
gpt-4.1,Mistral,overall,B:C,0.33444816053511656,0.05203556763900768,1.298910330976177e-10
gpt-4.1,Mistral,overall,A:B:C,-0.45484949832775784,0.07351519137865352,6.126176177441494e-10
gpt-4.1,Mistral,has_placeholder,A,-0.013377926421404875,0.03073931624010215,0.6634131071653295
gpt-4.1,Mistral,has_placeholder,B,0.02675585284280901,0.030341168064151932,0.37786695235691903
gpt-4.1,Mistral,has_placeholder,C,-0.14046822742474932,0.024677031262631547,1.2536430276506708e-08
gpt-4.1,Mistral,has_placeholder,A:B,-0.11036789297658829,0.04208595205000072,0.008730258444795537
gpt-4.1,Mistral,has_placeholder,A:C,0.06354515050167284,0.035154389035980796,0.07066843762716005
gpt-4.1,Mistral,has_placeholder,B:C,0.06688963210702395,0.039506812483392544,0.0904333133040168
gpt-4.1,Mistral,has_placeholder,A:B:C,-0.0033444816053524312,0.05229896382034707,0.9490106048023238
gpt-4.1,Mistral,promises_outcome,A,0.23411371237458195,0.03280569394293338,9.582482741529463e-13
gpt-4.1,Mistral,promises_outcome,B,-0.023411371237458605,0.02783563474371304,0.4003156851286428
gpt-4.1,Mistral,promises_outcome,C,-0.24749163879598687,0.025481601165748803,2.665506167885219e-22
gpt-4.1,Mistral,promises_outcome,A:B,-0.06354515050167234,0.03995027598899974,0.11169826312299529
gpt-4.1,Mistral,promises_outcome,A:C,-0.11371237458193986,0.038272599215479895,0.002967186047214811
gpt-4.1,Mistral,promises_outcome,B:C,0.04347826086956561,0.028553971180531212,0.12784141360319767
gpt-4.1,Mistral,promises_outcome,A:B:C,0.04013377926421399,0.0469123023508651,0.3922708113936181
gpt-4.1,Mistral,admits_liability,A,0.33444816053511717,0.03330678186554753,1.0019724477740993e-23
gpt-4.1,Mistral,admits_liability,B,-0.12374581939799381,0.02079598787797033,2.673800668716668e-09
gpt-4.1,Mistral,admits_liability,C,-0.13377926421404707,0.019748641217808123,1.251833413828518e-11
gpt-4.1,Mistral,admits_liability,A:B,-0.28762541806020053,0.03474724398691207,1.256330544049772e-16
gpt-4.1,Mistral,admits_liability,A:C,-0.17391304347826086,0.037802493208121526,4.2133493685178585e-06
gpt-4.1,Mistral,admits_liability,B:C,0.12374581939799377,0.02079598787797072,2.6738006687185317e-09
gpt-4.1,Mistral,admits_liability,A:B:C,0.13043478260869554,0.04024788053214404,0.001192004779478385
gpt-4o-mini,ChatGPT,acknowledgement,A,0.53511705685619,0.036503493968406346,1.1741207355008644e-48
gpt-4o-mini,ChatGPT,acknowledgement,B,1.0635451505016704,0.0361021792496678,9.568186879144464e-191
gpt-4o-mini,ChatGPT,acknowledgement,C,-1.1739130434782528,0.045131529948453555,3.7253897377749003e-149
gpt-4o-mini,ChatGPT,acknowledgement,A:B,-0.6387959866220717,0.04964837573449874,6.956759448197318e-38
gpt-4o-mini,ChatGPT,acknowledgement,A:C,0.7491638795986566,0.05177882951964405,1.9150383776353502e-47
gpt-4o-mini,ChatGPT,acknowledgement,B:C,0.8996655518394657,0.05336353426144156,8.982314109962704e-64
gpt-4o-mini,ChatGPT,acknowledgement,A:B:C,-0.6220735785953149,0.07213602587218022,6.487089172341573e-18
gpt-4o-mini,ChatGPT,concreteness,A,0.6688963210702337,0.03769279045069023,1.8507061708940996e-70
gpt-4o-mini,ChatGPT,concreteness,B,1.0434782608695639,0.034936326920138885,5.125499227110468e-196
gpt-4o-mini,ChatGPT,concreteness,C,-0.6521739130434779,0.03610739263606107,6.341076589883464e-73
gpt-4o-mini,ChatGPT,concreteness,A:B,-0.41806020066889504,0.04847282715343985,6.430018488273244e-18
gpt-4o-mini,ChatGPT,concreteness,A:C,0.20401337792642088,0.04914308796251623,3.304252375952798e-05
gpt-4o-mini,ChatGPT,concreteness,B:C,0.3110367892976608,0.0495443872474567,3.430838545975576e-10
gpt-4o-mini,ChatGPT,concreteness,A:B:C,-0.02341137123745457,0.06915182615895912,0.7349485312625894
gpt-4o-mini,ChatGPT,tone,A,0.3244147157190651,0.029541516979877003,4.682709758189728e-28
gpt-4o-mini,ChatGPT,tone,B,0.2541806020066877,0.03050697479274927,7.956529772018811e-17
gpt-4o-mini,ChatGPT,tone,C,-0.5785953177257489,0.030176945348204497,6.171225134178637e-82
gpt-4o-mini,ChatGPT,tone,A:B,-0.24080267558528295,0.033324861270795175,4.977323427958373e-13
gpt-4o-mini,ChatGPT,tone,A:C,0.46153846153845823,0.03859095122798132,5.7729485752743536e-33
gpt-4o-mini,ChatGPT,tone,B:C,0.47826086956521763,0.03892507825259366,1.0677279529228756e-34
gpt-4o-mini,ChatGPT,tone,A:B:C,-0.3612040133779242,0.047088514453524404,1.7099945188145912e-14
gpt-4o-mini,ChatGPT,grounding,A,-0.013377926421404618,0.006664972254159146,0.04472846564825557
gpt-4o-mini,ChatGPT,grounding,B,-0.00334448160535119,0.003349388109348829,0.3180199508252243
gpt-4o-mini,ChatGPT,grounding,C,-0.010033444816053361,0.0057818101215278495,0.08267942383702627
gpt-4o-mini,ChatGPT,grounding,A:B,0.016722408026755897,0.00743902485115531,0.02458064619629841
gpt-4o-mini,ChatGPT,grounding,A:C,0.01337792642140457,0.009457591687989386,0.15721009129083816
gpt-4o-mini,ChatGPT,grounding,B:C,0.013377926421404701,0.0066649722541590895,0.04472846564825239
gpt-4o-mini,ChatGPT,grounding,A:B:C,-0.01672240802675589,0.01001814733990881,0.09507544653732944
gpt-4o-mini,ChatGPT,overall,A,0.5518394648829446,0.03354105401535647,8.026805194003818e-61
gpt-4o-mini,ChatGPT,overall,B,0.6923076923076903,0.031417649174633126,1.3120745113021658e-107
gpt-4o-mini,ChatGPT,overall,C,-1.1003344481605284,0.0350256493858929,1.25845225282757e-216
gpt-4o-mini,ChatGPT,overall,A:B,-0.4949832775919712,0.038362004081914355,4.331530851799153e-38
gpt-4o-mini,ChatGPT,overall,A:C,0.6254180602006647,0.049768034272012165,3.2203622760604504e-36
gpt-4o-mini,ChatGPT,overall,B:C,0.8829431438127106,0.04282106760699495,1.8396399554549658e-94
gpt-4o-mini,ChatGPT,overall,A:B:C,-0.4682274247491612,0.05968211760156719,4.317289848637764e-15
gpt-4o-mini,ChatGPT,has_placeholder,A,-0.5284280936454852,0.03084201728846074,8.364629725294742e-66
gpt-4o-mini,ChatGPT,has_placeholder,B,-0.7826086956521748,0.02439471820769642,8.098139684323445e-226
gpt-4o-mini,ChatGPT,has_placeholder,C,-0.7959866220735731,0.02337818215535487,4.3054853144574205e-254
gpt-4o-mini,ChatGPT,has_placeholder,A:B,0.3946488294314409,0.041557567044354274,2.1719413969060415e-21
gpt-4o-mini,ChatGPT,has_placeholder,A:C,0.608695652173913,0.03958582333147398,2.3494063265505105e-53
gpt-4o-mini,ChatGPT,has_placeholder,B:C,0.6588628762541813,0.03441193470981783,1.0381698118366211e-81
gpt-4o-mini,ChatGPT,has_placeholder,A:B:C,-0.49832775919732764,0.04800693781256059,3.047265336905401e-25
gpt-4o-mini,ChatGPT,promises_outcome,A,0.08361204013377926,0.02197711447488819,0.00014208808843431948
gpt-4o-mini,ChatGPT,promises_outcome,B,0.04682274247491686,0.019373358778659328,0.015654933659878398
gpt-4o-mini,ChatGPT,promises_outcome,C,-0.03678929765886319,0.010920686213892396,0.0007550396505911227
gpt-4o-mini,ChatGPT,promises_outcome,A:B,-0.06688963210702442,0.028202430409482004,0.017703185529366516
gpt-4o-mini,ChatGPT,promises_outcome,A:C,-0.07692307692307702,0.02205918271555351,0.0004882472878522029
gpt-4o-mini,ChatGPT,promises_outcome,B:C,-0.040133779264214776,0.019994916762477718,0.04472846564825363
gpt-4o-mini,ChatGPT,promises_outcome,A:B:C,0.06688963210702534,0.03050327256485378,0.028316933859935674
gpt-4o-mini,ChatGPT,admits_liability,A,-0.03010033444816021,0.023895796008099733,0.20779572531530965
gpt-4o-mini,ChatGPT,admits_liability,B,-0.11705685618729131,0.020380922238220935,9.276546422362249e-09
gpt-4o-mini,ChatGPT,admits_liability,C,-0.13377926421404596,0.01974864121780744,1.2518334138269875e-11
gpt-4o-mini,ChatGPT,admits_liability,A:B,0.03678929765886323,0.02568173693577766,0.15199844521491826
gpt-4o-mini,ChatGPT,admits_liability,A:C,0.07023411371237412,0.026740255895080736,0.008626010965411013
gpt-4o-mini,ChatGPT,admits_liability,B:C,0.12709030100334465,0.0215271416557084,3.553867117583658e-09
gpt-4o-mini,ChatGPT,admits_liability,A:B:C,-0.07357859531772587,0.028935083076315943,0.010994133532993132
gpt-4o-mini,Mistral,acknowledgement,A,0.7324414715719076,0.04607426219863951,6.649739158557317e-57
gpt-4o-mini,Mistral,acknowledgement,B,0.8193979933110347,0.04428699404718557,1.989498037982875e-76
gpt-4o-mini,Mistral,acknowledgement,C,-1.1772575250836115,0.051932734741837586,9.085320136847494e-114
gpt-4o-mini,Mistral,acknowledgement,A:B,-0.7525083612040151,0.055096223314626366,1.8069708256114047e-42
gpt-4o-mini,Mistral,acknowledgement,A:C,0.7558528428093624,0.06703102051567136,1.7208557707533723e-29
gpt-4o-mini,Mistral,acknowledgement,B:C,0.5618729096989948,0.06344464048847953,8.28528422162734e-19
gpt-4o-mini,Mistral,acknowledgement,A:B:C,-0.274247491638794,0.08615970244603277,0.0014575084420216378
gpt-4o-mini,Mistral,concreteness,A,0.9665551839464895,0.0492700867358394,1.0964537040722686e-85
gpt-4o-mini,Mistral,concreteness,B,0.5150501672240779,0.047051724671513175,6.908985067823751e-28
gpt-4o-mini,Mistral,concreteness,C,-1.100334448160535,0.04256889151654953,2.541070066476584e-147
gpt-4o-mini,Mistral,concreteness,A:B,-0.7157190635451522,0.06408285480765148,5.80556401217425e-29
gpt-4o-mini,Mistral,concreteness,A:C,0.645484949832774,0.06080071177586534,2.5000598519043065e-26
gpt-4o-mini,Mistral,concreteness,B:C,0.6321070234113693,0.053209522548609924,1.5111649228505486e-32
gpt-4o-mini,Mistral,concreteness,A:B:C,-0.4448160535117037,0.07909838669793601,1.8704079449519117e-08
gpt-4o-mini,Mistral,tone,A,0.177257525083614,0.02265691829105017,5.135429016748844e-15
gpt-4o-mini,Mistral,tone,B,0.07692307692307643,0.02493351355589955,0.002034646757273885
gpt-4o-mini,Mistral,tone,C,-0.6354515050167212,0.028322310926085188,1.736425386863447e-111
gpt-4o-mini,Mistral,tone,A:B,-0.12374581939799403,0.028154335277623933,1.1063670430719073e-05
gpt-4o-mini,Mistral,tone,A:C,0.595317725752506,0.032533748831297817,8.511034742627254e-75
gpt-4o-mini,Mistral,tone,B:C,0.2474916387959852,0.04077200227117437,1.2780119314581276e-09
gpt-4o-mini,Mistral,tone,A:B:C,-0.23076923076922998,0.046133053327335784,5.666399027896047e-07
gpt-4o-mini,Mistral,grounding,A,0.023411371237458102,0.011044087715115732,0.034022043699118466
gpt-4o-mini,Mistral,grounding,B,0.0234113712374582,0.01104408771511585,0.03402204369911963
gpt-4o-mini,Mistral,grounding,C,0.02675585284280937,0.010495291444872776,0.01079333169594632
gpt-4o-mini,Mistral,grounding,A:B,-0.01672240802675592,0.012957606036847437,0.19686057855022976
gpt-4o-mini,Mistral,grounding,A:C,-0.023411371237458234,0.011044087715115702,0.03402204369911696
gpt-4o-mini,Mistral,grounding,B:C,-0.02675585284280931,0.012456938945858035,0.03172429223093495
gpt-4o-mini,Mistral,grounding,A:B:C,0.023411371237458137,0.013766195972061199,0.08901022983000133
gpt-4o-mini,Mistral,overall,A,0.5886287625418076,0.038604605872865086,1.707169663169466e-52
gpt-4o-mini,Mistral,overall,B,0.3344481605351149,0.03495571743948602,1.092394779512043e-21
gpt-4o-mini,Mistral,overall,C,-1.1170568561872911,0.042292075447001656,9.738414670745456e-154
gpt-4o-mini,Mistral,overall,A:B,-0.5117056856187293,0.044598711110787045,1.7914901872795947e-30
gpt-4o-mini,Mistral,overall,A:C,0.8127090301003341,0.04970748367104491,4.3617759320141746e-60
gpt-4o-mini,Mistral,overall,B:C,0.6923076923076906,0.05194215748700558,1.581802525096747e-40
gpt-4o-mini,Mistral,overall,A:B:C,-0.5016722408026749,0.06045983493013751,1.0622510345771003e-16
gpt-4o-mini,Mistral,has_placeholder,A,-0.030100334448160584,0.03160282943103131,0.34086529024417755
gpt-4o-mini,Mistral,has_placeholder,B,0.0401337792642139,0.03138647967489535,0.20100398011134113
gpt-4o-mini,Mistral,has_placeholder,C,-0.14715719063545132,0.025884688523264338,1.3073176644103031e-08
gpt-4o-mini,Mistral,has_placeholder,A:B,-0.1270903010033445,0.04206089875546463,0.0025146055509097922
gpt-4o-mini,Mistral,has_placeholder,A:C,0.07357859531772559,0.035566399787151606,0.03856795353960639
gpt-4o-mini,Mistral,has_placeholder,B:C,0.06354515050167221,0.04078677272939442,0.11923697604528706
gpt-4o-mini,Mistral,has_placeholder,A:B:C,0.013377926421404764,0.05304158044884877,0.8008742402663822
gpt-4o-mini,Mistral,promises_outcome,A,0.3244147157190627,0.03279192064698907,4.458675025701585e-23
gpt-4o-mini,Mistral,promises_outcome,B,0.040133779264214055,0.02715654776934113,0.1394432477712053
gpt-4o-mini,Mistral,promises_outcome,C,-0.16387959866220728,0.02199252559761007,9.221193785159763e-14
gpt-4o-mini,Mistral,promises_outcome,A:B,-0.1571906354515064,0.04211992911427644,0.00018998233654468182
gpt-4o-mini,Mistral,promises_outcome,A:C,-0.21404682274247616,0.035868891691192485,2.40948734792109e-09
gpt-4o-mini,Mistral,promises_outcome,B:C,-0.020066889632107312,0.028045819675163373,0.4742978138697952
gpt-4o-mini,Mistral,promises_outcome,A:B:C,0.14715719063545163,0.048331273098305,0.0023286503604395756
gpt-4o-mini,Mistral,admits_liability,A,0.19063545150501682,0.037679804475616696,4.206802905081821e-07
gpt-4o-mini,Mistral,admits_liability,B,-0.2642140468227425,0.028095440530601836,5.244693716997846e-21
gpt-4o-mini,Mistral,admits_liability,C,-0.3210702341137125,0.027085756985414444,2.0555059520541876e-32
gpt-4o-mini,Mistral,admits_liability,A:B,-0.09030100334448254,0.043816119710710616,0.03931179244693779
gpt-4o-mini,Mistral,admits_liability,A:C,0.0033444816053503357,0.04283337377468251,0.9377634546834964
gpt-4o-mini,Mistral,admits_liability,B:C,0.2608695652173908,0.028399299118618156,4.085753750796691e-20
gpt-4o-mini,Mistral,admits_liability,A:B:C,-0.05685618729096942,0.04885343674670566,0.24450044560235074
mistral-small,ChatGPT,acknowledgement,A,0.4347826086956532,0.06199754132900888,2.334269227788853e-12
mistral-small,ChatGPT,acknowledgement,B,1.4381270903010064,0.056500221035269464,6.460683621005768e-143
mistral-small,ChatGPT,acknowledgement,C,-0.6153846153846105,0.053550856849624504,1.4540670575036919e-30
mistral-small,ChatGPT,acknowledgement,A:B,-0.5585284280936444,0.07499957487229927,9.542303104092102e-14
mistral-small,ChatGPT,acknowledgement,A:C,0.47157190635451174,0.07639603487761358,6.712183765721167e-10
mistral-small,ChatGPT,acknowledgement,B:C,0.2909698996655486,0.06823829201777941,2.0077542995625952e-05
mistral-small,ChatGPT,acknowledgement,A:B:C,-0.26421404682273836,0.09816621724072798,0.007113220842164809
mistral-small,ChatGPT,concreteness,A,0.6321070234113705,0.05235651744601622,1.4645644404340134e-33
mistral-small,ChatGPT,concreteness,B,1.5886287625418074,0.05136567260334175,5.0483496453357266e-210
mistral-small,ChatGPT,concreteness,C,-0.7725752508361164,0.0397727267228884,4.767062447796248e-84
mistral-small,ChatGPT,concreteness,A:B,-0.31103678929765544,0.06727376037932335,3.7741185908307e-06
mistral-small,ChatGPT,concreteness,A:C,0.3913043478260852,0.06305419357258904,5.440489935531218e-10
mistral-small,ChatGPT,concreteness,B:C,0.6053511705685614,0.06126271069016336,5.021081010568725e-23
mistral-small,ChatGPT,concreteness,A:B:C,-0.2541806020066867,0.08465533171186342,0.002677411257290289
mistral-small,ChatGPT,tone,A,0.31438127090301027,0.03155275890141005,2.1979634870058905e-23
mistral-small,ChatGPT,tone,B,0.4715719063545152,0.03156349498724301,1.7983522253178536e-50
mistral-small,ChatGPT,tone,C,-0.2508361204013366,0.02687926937336228,1.0393623964810801e-20
mistral-small,ChatGPT,tone,A:B,-0.14715719063545094,0.04643075723861198,0.0015275912196353824
mistral-small,ChatGPT,tone,A:C,0.12374581939799256,0.04249365559886683,0.003590064663106712
mistral-small,ChatGPT,tone,B:C,0.16053511705685572,0.04247681993554501,0.0001572331124442538
mistral-small,ChatGPT,tone,A:B:C,-0.06688963210702217,0.0642430291916153,0.2977842517029845
mistral-small,ChatGPT,grounding,A,0.5016722408026764,0.09265818873562759,6.155487773564622e-08
mistral-small,ChatGPT,grounding,B,1.4448160535117076,0.06452077307095389,4.601435283198293e-111
mistral-small,ChatGPT,grounding,C,1.1337792642140425,0.07461762626599269,3.844498427366332e-52
mistral-small,ChatGPT,grounding,A:B,-0.5083612040133796,0.09820072516303495,2.257770475532743e-07
mistral-small,ChatGPT,grounding,A:C,-0.6521739130434792,0.11307038107709108,8.028536117597852e-09
mistral-small,ChatGPT,grounding,B:C,-1.0668896321070243,0.08236257486023414,2.242675222581447e-38
mistral-small,ChatGPT,grounding,A:B:C,0.6655518394648844,0.1211781069860641,3.966340325980096e-08
mistral-small,ChatGPT,overall,A,0.49498327759197425,0.0493929483127218,1.2283253564252276e-23
mistral-small,ChatGPT,overall,B,1.080267558528429,0.04502128992532063,3.1667146487594247e-127
mistral-small,ChatGPT,overall,C,-0.591973244147153,0.04029088341307095,7.20221233354874e-49
mistral-small,ChatGPT,overall,A:B,-0.2943143812709014,0.06366557982238269,3.785620469928115e-06
mistral-small,ChatGPT,overall,A:C,0.4013377926421382,0.05962468997768746,1.684231985898689e-11
mistral-small,ChatGPT,overall,B:C,0.40468227424749,0.05674156952043829,9.8903133834074e-13
mistral-small,ChatGPT,overall,A:B:C,-0.3010033444816025,0.08086251600915308,0.0001973311619367578
mistral-small,ChatGPT,has_placeholder,A,-0.5384615384615388,0.032233827926579826,1.2081399559934934e-62
mistral-small,ChatGPT,has_placeholder,B,-0.7859531772575254,0.024263192651427297,3.4645131026043317e-230
mistral-small,ChatGPT,has_placeholder,C,-0.7892976588628721,0.024129390120095087,1.0877559112244037e-234
mistral-small,ChatGPT,has_placeholder,A:B,0.42474916387959977,0.04068511753563998,1.6295676178473945e-25
mistral-small,ChatGPT,has_placeholder,A:C,0.5919732441471572,0.040845801150102196,1.3439023915242569e-47
mistral-small,ChatGPT,has_placeholder,B:C,0.6688963210702341,0.032909953836939176,7.721683677840795e-92
mistral-small,ChatGPT,has_placeholder,A:B:C,-0.5083612040133783,0.048004585242446475,3.321349353339304e-26
