Variant,Metric,n pairs,ChatGPT mean,Mistral mean,Diff (ChatGPT - Mistral),Cohen d (paired),Test,p
V1 terse,Asks for information,10000,0.4468,0.4916,-0.044800000000000006,,McNemar (exact),3.6693313789854775e-13
V1 terse,Escalation,10000,0.0695,0.2133,-0.14379999999999998,,McNemar (exact),2.0467477428504849e-252
V1 terse,Promises an outcome,10000,0.0007,0.0042,-0.0034999999999999996,,McNemar (exact),1.7716986633331544e-07
V1 terse,Mentions regulator / bureau,10000,0.0257,0.1277,-0.10200000000000001,,McNemar (exact),2.9292730020462214e-213
V1 terse,Markdown formatting,10000,0.0,0.0083,-0.0083,,McNemar (exact),2.0679515313825692e-25
V1 terse,Echoes XXXX redaction,10000,0.0125,0.007,0.0055000000000000005,,McNemar (exact),3.14075178618894e-05
V1 terse,Thanks the customer,10000,0.2448,0.1018,0.143,,McNemar (exact),1.1963226691793965e-211
V1 terse,Leaves a [placeholder],10000,0.1175,0.1198,-0.0023000000000000104,,McNemar (exact),0.6162655516691252
V1 terse,v3_all_labels,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V1 terse,v3_nothing_needed,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V1 terse,sentence_compliant,10000,0.9905,0.831,0.1595000000000001,,McNemar (exact),0.0
V1 terse,truncated,10000,0.0,0.0003,-0.0003,,McNemar (exact),0.25
V2 empathetic,Length (chars),10000,495.902,435.7271,60.17489999999998,0.7501534754651509,Wilcoxon signed-rank,0.0
V2 empathetic,Length (words),10000,83.6178,71.8931,11.724699999999999,0.9100068748360766,Wilcoxon signed-rank,0.0
V2 empathetic,Sentences,10000,4.6356,3.4982,1.1374,1.3996320364130388,Wilcoxon signed-rank,0.0
V2 empathetic,VADER compound,10000,0.60820331,-0.06588616,0.6740894700000001,1.0763461569644412,Wilcoxon signed-rank,0.0
V2 empathetic,VADER positive share,10000,0.180208,0.1131503,0.06705770000000001,1.1641775908841998,Wilcoxon signed-rank,0.0
V2 empathetic,VADER negative share,10000,0.0916576,0.1216463,-0.029988699999999993,-0.6595000094292315,Wilcoxon signed-rank,0.0
V2 empathetic,Flesch reading ease,10000,57.802195,52.818213,4.9839819999999975,0.4780888716531457,Wilcoxon signed-rank,0.0
V2 empathetic,Flesch-Kincaid grade,10000,9.7291,10.9088,-1.1796999999999986,-0.5935315977958229,Wilcoxon signed-rank,0.0
V2 empathetic,Latency (s),10000,1.182825,1.0754270000000001,0.10739799999999988,0.24386188649623355,Wilcoxon signed-rank,2.717993237610297e-178
V2 empathetic,Completion tokens,10000,95.034,87.9701,7.063900000000004,0.42937977545652817,Wilcoxon signed-rank,0.0
V2 empathetic,Apology,10000,0.9636,0.9976,-0.03400000000000003,,McNemar (exact),3.188113672874683e-83
V2 empathetic,Empathy / acknowledgement,10000,0.9896,0.9037,0.08590000000000009,,McNemar (exact),1.863399097383702e-189
V2 empathetic,Ownership,10000,0.9781,0.9907,-0.012600000000000056,,McNemar (exact),2.8675224177045895e-13
V2 empathetic,Time-bound commitment,10000,0.0602,0.6879,-0.6276999999999999,,McNemar (exact),0.0
V2 empathetic,Hedging,10000,0.0195,0.0167,0.0028000000000000004,,McNemar (exact),0.13348957042587825
V2 empathetic,Asks for information,10000,0.0056,0.0067,-0.0011000000000000003,,McNemar (exact),0.3633632605480971
V2 empathetic,Escalation,10000,0.5027,0.696,-0.19329999999999992,,McNemar (exact),5.5868370834613443e-210
V2 empathetic,Promises an outcome,10000,0.0007,0.0045,-0.0037999999999999996,,McNemar (exact),1.3680484300948594e-08
V2 empathetic,Mentions regulator / bureau,10000,0.0243,0.0411,-0.0168,,McNemar (exact),9.63309692112396e-19
V2 empathetic,Markdown formatting,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V2 empathetic,Echoes XXXX redaction,10000,0.0125,0.0052,0.007300000000000001,,McNemar (exact),3.794342243215996e-09
V2 empathetic,Thanks the customer,10000,0.7851,0.0721,0.7130000000000001,,McNemar (exact),0.0
V2 empathetic,Leaves a [placeholder],10000,0.4004,0.1498,0.2506,,McNemar (exact),0.0
V2 empathetic,v3_all_labels,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V2 empathetic,v3_nothing_needed,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V2 empathetic,sentence_compliant,10000,0.4578,0.9925,-0.5347000000000001,,McNemar (exact),0.0
V2 empathetic,truncated,10000,0.0,0.0,0.0,,McNemar (exact),1.0
V3 structured,Length (chars),10000,384.3534,383.0099,1.343500000000006,0.018990177566783433,Wilcoxon signed-rank,9.235273618018565e-05
V3 structured,Length (words),10000,61.5686,58.2791,3.289500000000004,0.2951351907756955,Wilcoxon signed-rank,7.943883141217539e-193
V3 structured,Sentences,10000,3.0067,3.0081,-0.00140000000000029,-0.013112673013925213,Wilcoxon signed-rank,0.8581915991039542
V3 structured,VADER compound,10000,-0.11490686999999998,0.12420266000000002,-0.23910953000000001,-0.49561438433580884,Wilcoxon signed-rank,0.0
V3 structured,VADER positive share,10000,0.045014099999999994,0.06921210000000001,-0.024198000000000018,-0.5003606258150328,Wilcoxon signed-rank,0.0
V3 structured,VADER negative share,10000,0.05793979999999999,0.047874,0.010065799999999993,0.22239056038345112,Wilcoxon signed-rank,1.893186811298831e-107
V3 structured,Flesch reading ease,10000,52.392406,50.80401,1.588396000000003,0.14871281367179476,Wilcoxon signed-rank,1.599450829308592e-42
V3 structured,Flesch-Kincaid grade,10000,11.009139999999999,10.928889999999999,0.08024999999999949,0.03895686477220756,Wilcoxon signed-rank,2.7456040072412806e-07
V3 structured,Latency (s),10000,1.057373,0.915919,0.14145399999999986,0.35339017651081944,Wilcoxon signed-rank,0.0
V3 structured,Completion tokens,10000,73.1373,74.8172,-1.6799000000000035,-0.1344428401166562,Wilcoxon signed-rank,2.589670845486923e-27
V3 structured,Apology,10000,0.0003,0.0009,-0.0006000000000000001,,McNemar (exact),0.14599609375
V3 structured,Empathy / acknowledgement,10000,0.9885,0.825,0.1635000000000001,,McNemar (exact),0.0
V3 structured,Ownership,10000,0.9895,0.9987,-0.009199999999999986,,McNemar (exact),1.8667049442323873e-19
V3 structured,Time-bound commitment,10000,0.8337,0.9453,-0.11160000000000003,,McNemar (exact),2.1524953522532696e-142
V3 structured,Hedging,10000,0.0231,0.0632,-0.04010000000000001,,McNemar (exact),1.6115646384868907e-48
V3 structured,Asks for information,10000,0.0052,0.0906,-0.0854,,McNemar (exact),5.049978201486241e-223
V3 structured,Escalation,10000,0.0346,0.1906,-0.156,,McNemar (exact),0.0
V3 structured,Promises an outcome,10000,0.0,0.0001,-0.0001,,McNemar (exact),1.0
V3 structured,Mentions regulator / bureau,10000,0.0454,0.0544,-0.008999999999999994,,McNemar (exact),2.4637894417380964e-05
V3 structured,Markdown formatting,10000,0.0016,0.9778,-0.9762,,McNemar (exact),0.0
V3 structured,Echoes XXXX redaction,10000,0.004,0.0085,-0.0045000000000000005,,McNemar (exact),8.635781314660544e-06
V3 structured,Thanks the customer,10000,0.0245,0.0,0.0245,,McNemar (exact),3.5373746401666845e-74
V3 structured,Leaves a [placeholder],10000,0.0277,0.0355,-0.007799999999999998,,McNemar (exact),0.0018636749504634803
V3 structured,v3_all_labels,10000,0.9967,1.0,-0.0032999999999999696,,McNemar (exact),2.3283064365386963e-10
V3 structured,v3_nothing_needed,10000,0.9935,0.6217,0.3718,,McNemar (exact),0.0
V3 structured,sentence_compliant,10000,0.9967,1.0,-0.0032999999999999696,,McNemar (exact),2.3283064365386963e-10
V3 structured,truncated,10000,0.0,0.0,0.0,,McNemar (exact),1.0
